disease,symptom,disease_occurrence,symptom_rank
C0020538,C0008031,3363,12
C0020538,C0392680,3363,11
C0020538,C0012833,3363,10
C0020538,C0004093,3363,9
C0020538,C0085639,3363,8
C0020538,C0039070,3363,7
C0020538,C0042571,3363,6
C0020538,C0700590,3363,5
C0020538,C0030252,3363,4
C0020538,C0027497,3363,3
C0020538,C0002962,3363,2
C0020538,C0438716,3363,1
C0011847,C0032617,1421,15
C0011847,C0085602,1421,14
C0011847,C0392680,1421,13
C0011847,C0008031,1421,12
C0011847,C0004093,1421,11
C0011847,C0027497,1421,10
C0011847,C0085619,1421,9
C0011847,C0034642,1421,8
C0011847,C0038990,1421,7
C0011847,C0700590,1421,6
C0011847,C0241526,1421,5
C0011847,C0856054,1421,4
C0011847,C0042571,1421,3
C0011847,C0042963,1421,2
C0011847,C0553668,1421,1
C0011570,C0424000,1337,21
C0011570,C0438696,1337,20
C0011570,C0233762,1337,19
C0011570,C0150041,1337,18
C0011570,C0424109,1337,17
C0011570,C0917801,1337,16
C0011570,C0424230,1337,15
C0011570,C0022107,1337,14
C0011570,C0312422,1337,13
C0011570,C0344315,1337,12
C0011570,C0233763,1337,11
C0011570,C0233481,1337,10
C0011570,C0085631,1337,9
C0011570,C0040822,1337,8
C0011570,C0728899,1337,7
C0011570,C0424068,1337,6
C0011570,C0455769,1337,5
C0011570,C1299586,1337,4
C0011570,C0028084,1337,3
C0011570,C0235198,1337,2
C0011570,C0237154,1337,1
C0010054,C0008031,1284,9
C0010054,C0002962,1284,8
C0010054,C0392680,1284,7
C0010054,C0086439,1284,6
C0010054,C0700590,1284,5
C0010054,C0438716,1284,4
C0010054,C0231807,1284,3
C0010054,C0085619,1284,2
C0010054,C0232292,1284,1
C0032285,C0010200,1029,19
C0032285,C0015967,1029,18
C0032285,C0029053,1029,17
C0032285,C0392680,1029,16
C0032285,C0034642,1029,15
C0032285,C0239134,1029,14
C0032285,C0008033,1029,13
C0032285,C0457096,1029,12
C0032285,C0238844,1029,11
C0032285,C0085593,1029,10
C0032285,C0035508,1029,9
C0032285,C0457097,1029,8
C0032285,C0850149,1029,7
C0032285,C0043144,1029,6
C0032285,C0019079,1029,5
C0032285,C0476273,1029,4
C0032285,C0231835,1029,3
C0032285,C0231218,1029,2
C0032285,C0028081,1029,1
C0018802,C0392680,963,7
C0018802,C0085619,963,6
C0018802,C0240100,963,5
C0018802,C0034642,963,4
C0018802,C0013404,963,3
C0018802,C0010200,963,2
C0018802,C0043144,963,1
C0038454,C0013362,885,8
C0038454,C0004093,885,7
C0038454,C0234518,885,6
C0038454,C0427055,885,5
C0038454,C0018991,885,4
C0038454,C0241526,885,3
C0038454,C0036572,885,2
C0038454,C0028643,885,1
C0004096,C0043144,835,9
C0004096,C0010200,835,8
C0004096,C0392680,835,7
C0004096,C0232292,835,6
C0004096,C0850149,835,5
C0004096,C0008033,835,4
C0004096,C0239134,835,3
C0004096,C0436331,835,2
C0004096,C0476273,835,1
C0027051,C0008031,759,18
C0027051,C0520886,759,17
C0027051,C0700590,759,16
C0027051,C0392680,759,15
C0027051,C0520887,759,14
C0027051,C0086439,759,13
C0027051,C0002962,759,12
C0027051,C0438716,759,11
C0027051,C0520888,759,10
C0027051,C0085619,759,9
C0027051,C0034642,759,8
C0027051,C0232292,759,7
C0027051,C1305739,759,6
C0027051,C0030252,759,5
C0027051,C0013404,759,4
C0027051,C0235710,759,3
C0027051,C0428977,759,2
C0027051,C0039070,759,1
C0020443,C0030193,685,14
C0020443,C0008031,685,13
C0020443,C0700590,685,12
C0020443,C0337672,685,11
C0020443,C0438716,685,10
C0020443,C0039070,685,9
C0020443,C0028643,685,8
C0020443,C0235710,685,7
C0020443,C0392680,685,6
C0020443,C0520887,685,5
C0020443,C0233481,685,4
C0020443,C0520888,685,3
C0020443,C0428977,685,2
C0020443,C0013404,685,1
C0021311,C0015967,630,12
C0021311,C0041834,630,11
C0021311,C0029053,630,10
C0021311,C0019214,630,9
C0021311,C0085593,630,8
C0021311,C0033774,630,7
C0021311,C0011991,630,6
C0021311,C0549483,630,5
C0021311,C0038999,630,4
C0021311,C0030193,630,3
C0021311,C0277797,630,2
C0021311,C0010200,630,1
C0042029,C0015967,597,12
C0042029,C0013428,597,11
C0042029,C0018965,597,10
C0042029,C0235634,597,9
C0042029,C0023380,597,8
C0042029,C0004093,597,7
C0042029,C0020625,597,6
C0042029,C0578150,597,5
C0042029,C0476273,597,4
C0042029,C0241705,597,3
