Disease,Count of Disease Occurrence,Symptom,Rank of Symptom in Disease
UMLS:C0020538_hypertensive disease,3363,UMLS:C0008031_pain chest,12
UMLS:C0020538_hypertensive disease,3363,UMLS:C0392680_shortness of breath,11
UMLS:C0020538_hypertensive disease,3363,UMLS:C0012833_dizziness,10
UMLS:C0020538_hypertensive disease,3363,UMLS:C0004093_asthenia,9
UMLS:C0020538_hypertensive disease,3363,UMLS:C0085639_fall,8
UMLS:C0020538_hypertensive disease,3363,UMLS:C0039070_syncope,7
UMLS:C0020538_hypertensive disease,3363,UMLS:C0042571_vertigo,6
UMLS:C0020538_hypertensive disease,3363,UMLS:C0700590_sweating increased,5
UMLS:C0020538_hypertensive disease,3363,UMLS:C0030252_palpitation,4
UMLS:C0020538_hypertensive disease,3363,UMLS:C0027497_nausea,3
UMLS:C0020538_hypertensive disease,3363,UMLS:C0002962_angina pectoris,2
UMLS:C0020538_hypertensive disease,3363,UMLS:C0438716_pressure chest,1
UMLS:C0011847_diabetes,1421,UMLS:C0032617_polyuria,15
UMLS:C0011847_diabetes,1421,UMLS:C0085602_polydypsia,14
UMLS:C0011847_diabetes,1421,UMLS:C0392680_shortness of breath,13
UMLS:C0011847_diabetes,1421,UMLS:C0008031_pain chest,12
UMLS:C0011847_diabetes,1421,UMLS:C0004093_asthenia,11
UMLS:C0011847_diabetes,1421,UMLS:C0027497_nausea,10
UMLS:C0011847_diabetes,1421,UMLS:C0085619_orthopnea,9
UMLS:C0011847_diabetes,1421,UMLS:C0034642_rale,8
UMLS:C0011847_diabetes,1421,UMLS:C0038990_sweat,7
UMLS:C0011847_diabetes,1421,UMLS:C0700590_sweating increased,6
UMLS:C0011847_diabetes,1421,UMLS:C0241526_unresponsiveness,5
UMLS:C0011847_diabetes,1421,UMLS:C0856054_mental status changes,4
UMLS:C0011847_diabetes,1421,UMLS:C0042571_vertigo,3
UMLS:C0011847_diabetes,1421,UMLS:C0042963_vomiting,2
UMLS:C0011847_diabetes,1421,UMLS:C0553668_labored breathing,1
UMLS:C0011570_depression mental,1337,UMLS:C0424000_feeling suicidal,21
UMLS:C0011570_depression mental,1337,UMLS:C0438696_suicidal,20
UMLS:C0011570_depression mental,1337,UMLS:C0233762_hallucinations auditory,19
UMLS:C0011570_depression mental,1337,UMLS:C0150041_feeling hopeless,18
UMLS:C0011570_depression mental,1337,UMLS:C0424109_weepiness,17
UMLS:C0011570_depression mental,1337,UMLS:C0917801_sleeplessness,16
UMLS:C0011570_depression mental,1337,UMLS:C0424230_motor retardation,15
UMLS:C0011570_depression mental,1337,UMLS:C0022107_irritable mood,14
UMLS:C0011570_depression mental,1337,UMLS:C0312422_blackout,13
UMLS:C0011570_depression mental,1337,UMLS:C0344315_mood depressed,12
UMLS:C0011570_depression mental,1337,UMLS:C0233763_hallucinations visual,11
UMLS:C0011570_depression mental,1337,UMLS:C0233481_worry,10
UMLS:C0011570_depression mental,1337,UMLS:C0085631_agitation,9
UMLS:C0011570_depression mental,1337,UMLS:C0040822_tremor,8
UMLS:C0011570_depression mental,1337,UMLS:C0728899_intoxication,7
UMLS:C0011570_depression mental,1337,UMLS:C0424068_verbal auditory hallucinations,6
UMLS:C0011570_depression mental,1337,UMLS:C0455769_energy increased,5
UMLS:C0011570_depression mental,1337,UMLS:C1299586_difficulty,4
UMLS:C0011570_depression mental,1337,UMLS:C0028084_nightmare,3
UMLS:C0011570_depression mental,1337,UMLS:C0235198_unable to concentrate,2
UMLS:C0011570_depression mental,1337,UMLS:C0237154_homelessness,1
UMLS:C0010054_coronary arteriosclerosis,1284,UMLS:C0008031_pain chest,9
UMLS:C0010054_coronary arteriosclerosis,1284,UMLS:C0002962_angina pectoris,8
UMLS:C0010054_coronary arteriosclerosis,1284,UMLS:C0392680_shortness of breath,7
UMLS:C0010054_coronary arteriosclerosis,1284,UMLS:C0086439_hypokinesia,6
UMLS:C0010054_coronary arteriosclerosis,1284,UMLS:C0700590_sweating increased,5
UMLS:C0010054_coronary arteriosclerosis,1284,UMLS:C0438716_pressure chest,4
UMLS:C0010054_coronary arteriosclerosis,1284,UMLS:C0231807_dyspnea on exertion,3
UMLS:C0010054_coronary arteriosclerosis,1284,UMLS:C0085619_orthopnea,2
UMLS:C0010054_coronary arteriosclerosis,1284,UMLS:C0232292_chest tightness,1
UMLS:C0032285_pneumonia,1029,UMLS:C0010200_cough,19
UMLS:C0032285_pneumonia,1029,UMLS:C0015967_fever,18
UMLS:C0032285_pneumonia,1029,UMLS:C0029053_decreased translucency,17
UMLS:C0032285_pneumonia,1029,UMLS:C0392680_shortness of breath,16
UMLS:C0032285_pneumonia,1029,UMLS:C0034642_rale,15
UMLS:C0032285_pneumonia,1029,UMLS:C0239134_productive cough,14
UMLS:C0032285_pneumonia,1029,UMLS:C0008033_pleuritic pain,13
UMLS:C0032285_pneumonia,1029,UMLS:C0457096_yellow sputum,12
UMLS:C0032285_pneumonia,1029,UMLS:C0238844_breath sounds decreased,11
UMLS:C0032285_pneumonia,1029,UMLS:C0085593_chill,10
UMLS:C0032285_pneumonia,1029,UMLS:C0035508_rhonchus,9
UMLS:C0032285_pneumonia,1029,UMLS:C0457097_green sputum,8
UMLS:C0032285_pneumonia,1029,UMLS:C0850149_non-productive cough,7
UMLS:C0032285_pneumonia,1029,UMLS:C0043144_wheezing,6
UMLS:C0032285_pneumonia,1029,UMLS:C0019079_haemoptysis,5
UMLS:C0032285_pneumonia,1029,UMLS:C0476273_distress respiratory,4
UMLS:C0032285_pneumonia,1029,UMLS:C0231835_tachypnea,3
UMLS:C0032285_pneumonia,1029,UMLS:C0231218_malaise,2
UMLS:C0032285_pneumonia,1029,UMLS:C0028081_night sweat,1
UMLS:C0018802_failure heart congestive,963,UMLS:C0392680_shortness of breath,7
UMLS:C0018802_failure heart congestive,963,UMLS:C0085619_orthopnea,6
UMLS:C0018802_failure heart congestive,963,UMLS:C0240100_jugular venous distention,5
UMLS:C0018802_failure heart congestive,963,UMLS:C0034642_rale,4
UMLS:C0018802_failure heart congestive,963,UMLS:C0013404_dyspnea,3
UMLS:C0018802_failure heart congestive,963,UMLS:C0010200_cough,2
UMLS:C0018802_failure heart congestive,963,UMLS:C0043144_wheezing,1
UMLS:C0038454_accident cerebrovascular,885,UMLS:C0013362_dysarthria,8
UMLS:C0038454_accident cerebrovascular,885,UMLS:C0004093_asthenia,7
UMLS:C0038454_accident cerebrovascular,885,UMLS:C0234518_speech slurred,6
UMLS:C0038454_accident cerebrovascular,885,UMLS:C0427055_facial paresis,5
UMLS:C0038454_accident cerebrovascular,885,UMLS:C0018991_hemiplegia,4
UMLS:C0038454_accident cerebrovascular,885,UMLS:C0241526_unresponsiveness,3
UMLS:C0038454_accident cerebrovascular,885,UMLS:C0036572_seizure,2
UMLS:C0038454_accident cerebrovascular,885,UMLS:C0028643_numbness,1
UMLS:C0004096_asthma,835,UMLS:C0043144_wheezing,9
UMLS:C0004096_asthma,835,UMLS:C0010200_cough,8
UMLS:C0004096_asthma,835,UMLS:C0392680_shortness of breath,7
UMLS:C0004096_asthma,835,UMLS:C0232292_chest tightness,6
UMLS:C0004096_asthma,835,UMLS:C0850149_non-productive cough,5
UMLS:C0004096_asthma,835,UMLS:C0008033_pleuritic pain,4
UMLS:C0004096_asthma,835,UMLS:C0239134_productive cough,3
UMLS:C0004096_asthma,835,UMLS:C0436331_symptom aggravating factors,2
UMLS:C0004096_asthma,835,UMLS:C0476273_distress respiratory,1
UMLS:C0027051_myocardial infarction,759,UMLS:C0008031_pain chest,18
UMLS:C0027051_myocardial infarction,759,UMLS:C0520886_st segment elevation,17
UMLS:C0027051_myocardial infarction,759,UMLS:C0700590_sweating increased,16
UMLS:C0027051_myocardial infarction,759,UMLS:C0392680_shortness of breath,15
UMLS:C0027051_myocardial infarction,759,UMLS:C0520887_st segment depression,14
UMLS:C0027051_myocardial infarction,759,UMLS:C0086439_hypokinesia,13
UMLS:C0027051_myocardial infarction,759,UMLS:C0002962_angina pectoris,12
UMLS:C0027051_myocardial infarction,759,UMLS:C0438716_pressure chest,11
UMLS:C0027051_myocardial infarction,759,UMLS:C0520888_t wave inverted,10
UMLS:C0027051_myocardial infarction,759,UMLS:C0085619_orthopnea,9
UMLS:C0027051_myocardial infarction,759,UMLS:C0034642_rale,8
UMLS:C0027051_myocardial infarction,759,UMLS:C0232292_chest tightness,7
UMLS:C0027051_myocardial infarction,759,UMLS:C1305739_presence of q wave,6
UMLS:C0027051_myocardial infarction,759,UMLS:C0030252_palpitation,5
UMLS:C0027051_myocardial infarction,759,UMLS:C0013404_dyspnea,4
UMLS:C0027051_myocardial infarction,759,UMLS:C0235710_chest discomfort,3
UMLS:C0027051_myocardial infarction,759,UMLS:C0428977_bradycardia,2
UMLS:C0027051_myocardial infarction,759,UMLS:C0039070_syncope,1
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0030193_pain,14
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0008031_pain chest,13
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0700590_sweating increased,12
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0337672_nonsmoker,11
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0438716_pressure chest,10
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0039070_syncope,9
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0028643_numbness,8
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0235710_chest discomfort,7
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0392680_shortness of breath,6
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0520887_st segment depression,5
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0233481_worry,4
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0520888_t wave inverted,3
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0428977_bradycardia,2
UMLS:C0020443_hypercholesterolemia,685,UMLS:C0013404_dyspnea,1
UMLS:C0021311_infection,630,UMLS:C0015967_fever,12
UMLS:C0021311_infection,630,UMLS:C0041834_erythema,11
UMLS:C0021311_infection,630,UMLS:C0029053_decreased translucency,10
UMLS:C0021311_infection,630,UMLS:C0019214_hepatosplenomegaly,9
UMLS:C0021311_infection,630,UMLS:C0085593_chill,8
UMLS:C0021311_infection,630,UMLS:C0033774_pruritus,7
UMLS:C0021311_infection,630,UMLS:C0011991_diarrhea,6
UMLS:C0021311_infection,630,UMLS:C0549483_abscess bacterial,5
UMLS:C0021311_infection,630,UMLS:C0038999_swelling,4
UMLS:C0021311_infection,630,UMLS:C0030193_pain,3
UMLS:C0021311_infection,630,UMLS:C0277797_apyrexial,2
UMLS:C0021311_infection,630,UMLS:C0010200_cough,1
UMLS:C0042029_infection urinary tract,597,UMLS:C0015967_fever,12
UMLS:C0042029_infection urinary tract,597,UMLS:C0013428_dysuria,11
UMLS:C0042029_infection urinary tract,597,UMLS:C0018965_hematuria,10
UMLS:C0042029_infection urinary tract,597,UMLS:C0235634_renal angle tenderness,9
UMLS:C0042029_infection urinary tract,597,UMLS:C0023380_lethargy,8
UMLS:C0042029_infection urinary tract,597,UMLS:C0004093_asthenia,7
UMLS:C0042029_infection urinary tract,597,UMLS:C0020625_hyponatremia,6
UMLS:C0042029_infection urinary tract,597,UMLS:C0578150_hemodynamically stable,5
UMLS:C0042029_infection urinary tract,597,UMLS:C0476273_distress respiratory,4
UMLS:C0042029_infection urinary tract,597,UMLS:C0241705_difficulty passing urine,3
UMLS:C0042029_infection urinary tract,597,UMLS:C0856054_mental status changes,2
UMLS:C0042029_infection urinary tract,597,UMLS:C0239110_consciousness clear,1
UMLS:C0002871_anemia,544,UMLS:C0085593_chill,20
UMLS:C0002871_anemia,544,UMLS:C0744492_guaiac positive,19
UMLS:C0002871_anemia,544,UMLS:C0746619_monoclonal,18
UMLS:C0002871_anemia,544,UMLS:C0013491_ecchymosis,17
UMLS:C0002871_anemia,544,UMLS:C1269955_tumor cell invasion,16
UMLS:C0002871_anemia,544,UMLS:C0019080_haemorrhage,15
UMLS:C0002871_anemia,544,UMLS:C0030232_pallor,14
UMLS:C0002871_anemia,544,UMLS:C0004093_asthenia,13
UMLS:C0002871_anemia,544,UMLS:C0015672_fatigue,12
UMLS:C0002871_anemia,544,UMLS:C0744740_heme positive,11
UMLS:C0002871_anemia,544,UMLS:C0004604_pain back,10
UMLS:C0002871_anemia,544,UMLS:C0149746_orthostasis,9
