question_name|answers|exam_type|title|raw_question|processed_question|raw_correct_answer|processed_correct_answer
Câu 1|A. Trần Thủ Độ       B. Trần Thánh Tông      C. Trần Quốc Tuấn        D. Trần Nhật Duật|exam grade 10|FILE_20210727_195104_RA-ĐỀ-THI-HK2-2021|. Vị tướng nào đóng vai trò quyết định đến thắng lợi của cuộc kháng chiến chống Mông – Nguyên năm 1258?|vị tướng nào đóng vai_trò quyết_định đến thắng_lợi của cuộc kháng_chiến chống mông – nguyên năm 1258|C. Trần Quốc Tuấn|trần quốc tuấn
Câu 2|A. Ngụ binh ư nông.                    B. Tiên phát chế nhân.C. Vườn không nhà trống.           D. Lập phòng tuyến chắc chắn để đánh giặc.|exam grade 10|FILE_20210727_195104_RA-ĐỀ-THI-HK2-2021|. Để đối phó với thế mạnh của quân Mông – Nguyên, cả ba lần nhà Trần đều thực hiện kế sách|để đối_phó với thế mạnh của quân mông – nguyên cả ba lần nhà trần đều thực_hiện kế_sách|C. Vườn không nhà trống.|vườn không nhà_trống
Câu 3|A. Đông Bộ Đầu.      B. Chương Dương.        C. Hàm Tử.      D. Bạch Đằng.|exam grade 10|FILE_20210727_195104_RA-ĐỀ-THI-HK2-2021|. Chiến thắng nào của nhà Trần đã đánh bại hoàn toàn ý chí xâm lược nước ta của quân Mông – Nguyên?|chiến_thắng nào của nhà trần đã đánh_bại hoàn_toàn ý_chí xâm_lược nước ta của quân mông – nguyên|D. Bạch Đằng.|bạch_đằng
Câu 4|A. hai lần chống Tống, ba lần chống Mông – Nguyên và chống Minh.B. chống Tống, ba lần chống Mông – Nguyên, chống Minh và chống Xiêm.C. hai lần chống Tống, hai lần chống Mông – Nguyên và chống Minh.D. hai lần chống Tống, ba lần chống Mông – Nguyên, chống Minh và chống Thanh.|exam grade 10|FILE_20210727_195104_RA-ĐỀ-THI-HK2-2021|. Từ sau chiến thắng Bạch Đằng (938) đến thế kỉ XV, nhân dân ta còn phải tiến hành nhiều cuộc kháng chiến chống quân xâm lược đó là:|từ sau chiến_thắng bạch đằng 938 đến thế_kỉ xv nhân_dân ta còn phải tiến_hành nhiều cuộc kháng_chiến chống quân xâm_lược đó là|A. hai lần chống Tống, ba lần chống Mông – Nguyên và chống Minh.|hai lần chống tống ba lần chống mông – nguyên và chống minh
Câu 5|A. Đều chống lại sự xâm lược của các triều đại phong kiến phương Bắc.B. Đều kết thúc bằng một trận quyết chiến chiến lược, đập tan ý đồ xâm lược của kẻ thù.C. Đều là các cuộc kháng chiến bảo vệ độc lập của dân tộc.D. Nhân đạo, hòa hiếu đối với kẻ xâm lược bại trận là một trong những nét nổi bật.|exam grade 10|FILE_20210727_195104_RA-ĐỀ-THI-HK2-2021|. Ý nào không phản ánh đúng đặc điểm chung của các cuộc chiến đấu chống ngoại xâm từ thế kỉ X đến thế kỉ XV?|ý nào không phản_ánh đúng đặc_điểm chung của các cuộc chiến_đấu chống ngoại_xâm từ thế_kỉ x đến thế_kỉ xv|C . Đều là các cuộc kháng chiến bảo vệ độc lập của dân tộc.|đều là các cuộc kháng_chiến bảo_vệ độc_lập của dân_tộc
Câu 7|A. Lý Thường Kiệt.     B. Trần Thủ Độ.       C. Trần Hưng Đạo.     D. Trần Thánh Tông|exam grade 10|FILE_20210727_195104_RA-ĐỀ-THI-HK2-2021|. Ai là người đề ra chủ trương “Ngồi yên đợi giặc không bằng đem quân đánh trước để chặn mũi nhọn của giặc”?|ai là người đề ra chủ_trương “ ngồi yên đợi giặc không bằng đem quân đánh trước để chặn mũi_nhọn của giặc ”|A. Lý Thường Kiệt.|lý thường kiệt
Câu 8|A. Trong cuộc tập kích lên đất Tống của quân ta.                   B. Trong buổi lễ mừng chiến thắng quân Tống.C. Đang lúc diễn ra trận đánh ác liệt ở phòng tuyến sông Như Nguyệt.   D. Khi vua Tống đầu hàng Đại Việt.|exam grade 10|FILE_20210727_195104_RA-ĐỀ-THI-HK2-2021|. Bài thơ “Nam quốc sơn hà”ra đời trong hoàn cảnh nào?|bài thơ “ nam quốc sơn hà ” ra_đời trong hoàn_cảnh nào|C . Đang lúc diễn ra trận đánh ác liệt ở phòng tuyến sông Như Nguyệt.|đang lúc diễn ra trận đánh ác_liệt ở phòng_tuyến sông như_nguyệt
Câu 9|A. Gia Long.                B. Minh Mạng.             C. Thiệu Trị.             D. Tự Đức.|exam grade 10|FILE_20210727_195104_RA-ĐỀ-THI-HK2-2021|. Vị vua nào dưới triều Nguyễn đã quyết định chia đất nước thành các đơn vị hành chính tỉnh?|vị vua nào dưới triều nguyễn đã quyết_định chia đất_nước thành các đơn_vị hành_chính tỉnh|B. Minh Mạng.|minh mạng
Câu 10|A. Phật giáo.            B. Kitô giáo.         C. Nho giáo.            D. Đạo giáo.|exam grade 10|FILE_20210727_195104_RA-ĐỀ-THI-HK2-2021|. Hệ tư tưởng độc tôn dưới triều Nguyễn là:|hệ tư_tưởng độc_tôn dưới triều nguyễn là|C . Nho giáo.|nho_giáo
Câu 11|A. Trả thù nhà Tây Sơn.               B. Cho xây dựng cung điện.C. Xây dựng quân đội mạnh.        D. Thiết lập hệ thống chính quyền từ trung ương đến địa phương.|exam grade 10|FILE_20210727_195104_RA-ĐỀ-THI-HK2-2021|. Sau khi lên ngôi hoàng đế, công việc đầu tiên mà Nguyễn Ánh tập trung giải quyết là gì?|sau khi lên_ngôi hoàng đế công_việc đầu_tiên mà nguyễn ánh tập_trung giải_quyết là gì|D. Thiết lập hệ thống chính quyền từ trung ương đến địa phương.|thiết_lập hệ_thống chính_quyền từ trung_ương đến địa_phương
