question_name|answers|exam_type|title|raw_question|processed_question|raw_correct_answer|processed_correct_answer
Câu 1|A. Loài vượn người.		B. Người tinh khôn. 		C. Loài vượn cổ 	D. Người tối cổ.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|: Khoảng 6 triệu năm trước đây, là thời gian xuất hiện của|khoảng 6 triệu năm trước đây là thời_gian xuất_hiện của|C. Loài vượn cổ|loài vượn cổ
Câu 2|A. Biết sử dụng công cụ bằng đồng 	B. Đã biết chế tạo công cụ lao độngC. Đã biết trồng trọt và chăn nuôi		D. Hầu như đã hoàn toàn đi bằng hai chân|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|: Đặc điểm nào dưới đây là đặc điểm của Người tối cổ?|đặc_điểm nào dưới đây là đặc_điểm của người tối_cổ|D. Hầu như đã hoàn toàn đi bằng hai chân|hầu_như đã hoàn_toàn đi bằng hai chân
Câu 3|A. Đồ đá cũ.          B. Đồ đá giữa 		C. Đồ đá mới       D. Đồ đồng thauCậu 4. Di cốt người tối cổ được tìm thấy ở đâu trên đất nước Việt NamLạng Sơn                 B.Cao Bằng            C.Nghệ An    D. Thanh Hoá|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|: Người tối cổ sử dụng phổ biến công cụ lao động gì?|người tối cổ_sử_dụng phổ_biến công_cụ lao_động gì|D. Thanh Hoá|thanh_hoá
Câu 5|Chế tạo cung tên và săn bắt động vật.	B. Tạo ra lửa.C.Giữ lửa trong tự nhiên. 			D.Chế tác các công cụ bằng đá.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|. Phát minh lớn và quan trọng nhất của người tối cổ là|phát_minh lớn và quan_trọng nhất của người tối cổ là|B. Tạo ra lửa.|tạo ra lửa
Câu 6|A. khắp các châu lục  	B. Gia-va và Bắc Kinh	C. Đông Phi và châu Á 	D.Châu Á và châu Âu.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|. Trên thế giới, di cốt của người tinh khôn tìm thấy ở|trên thế_giới di_cốt của người tinh_khôn tìm thấy ở|khắp các châu lục|khắp các châu_lục
Câu 7|A.Đầu thời đá cũ 	B.Giữa thời đá cũ.	C. Cuối thời đá cũ 		D.Đầu thời đá mới.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|. Con người rời bỏ lối sống trong hang động và ra cư trú nhà cửa tạm bợ vào khoảng thời gian nào?|con_người rời bỏ lối sống trong hang_động và ra cư_trú nhà_cửa tạm_bợ vào_khoảng thời_gian nào|C. Cuối thời đá cũ|cuối thời đá cũ
Câu 8|đá giữa.		B. đá mới. 		C. đồ đồng. 		D.đồ sắt.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|. Con bgười biết dùng đồ trang sức vào thời kì.|con bgười biết dùng đồ trang_sức vào thời_kì|B. đá mới.|đá mới
Câu 9|Tây Á, Ai Cập, Nam Âu. 				B.Đông Phi, Tây Phi, Nam Á.C. Châu Phi, Ấn Độ và Trung quốc. 			D.Tây Á, Nam Âu.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|. Cách đây khoảng 3000 năm, cư dân ở vùng nào trên thế giới là những người đầu tiên biết đúc và sử dụng đồ sắt.|cách đây khoảng 3000 năm cư_dân ở vùng nào trên thế_giới là những người đầu_tiên biết đúc và sử_dụng đồ sắt|D.Tây Á, Nam Âu.|tây á nam âu
Câu 10|dựa vào điều kiện sinh sống ở những khu vực khác nhau.dựa vào trình độ phát triển kinh tế, xã hội.Dựa vào những khác biệt về đặc điểm cơ thể bên ngoài.Dựa vào trình độ trí tuệ.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|. Dựa vào yếu tố nào mà người ta phân chia làm ba chủng tộc lớn khác nhau?|dựa vào yếu_tố nào mà người_ta phân_chia làm ba chủng_tộc lớn khác nhau|Dựa vào những khác biệt về đặc điểm cơ thể bên ngoài.|dựa vào những khác_biệt về đặc_điểm cơ_thể bên ngoài
Câu 11|Công cụ bằng đá thô sơ.Công cụ được ghè đẽo, mài nhẵn thành hình dạng khác nhau, có độ sắc bén.Công cụ bằng đồng đỏ, sắc bén nhưng lại đễ bị thay đổi hình dạng.Những hòn cuội được con người đem ghè một mặt cho sắc và vừa tay cầm.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|. Đặc điểm nào miêu tả đúng về công cụ đá mới.|đặc_điểm nào miêu_tả đúng về công_cụ đá mới|Công cụ được ghè đẽo, mài nhẵn thành hình dạng khác nhau, có độ sắc bén.|công_cụ được ghè đẽo mài nhẵn thành_hình_dạng khác nhau có độ sắc_bén
Câu 12|Con người hang hái sản xuất.	B.Công cụ sản xuất bằng kim loại xuất hiện.C. Con người biết tiết kiệm trong chi tiêu. 	D.Con người đã chinh phục được tự nhiên.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|. Điều kiện nào làm cho xã hội có sản phẩm dư thừa?|điều_kiện nào làm cho xã_hội có sản_phẩm dư_thừa|B.Công cụ sản xuất bằng kim loại xuất hiện.|công_cụ sản_xuất bằng kim_loại xuất_hiện
Câu 13|Trong xã hội đã có sản phẩm dư thừaXã hội có sự phân chia chức phận khác nhau.Sự không công bằng trong xã hội.Mọi người đều muốn cất giữ phần sản phẩm dư thừa.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|. Đâu không phải là nguyên nhân dẫn đến sự xuất hiện của chế độ tư hữu?|đâu không phải là nguyên_nhân dẫn đến sự xuất_hiện của chế_độ tư_hữu|Mọi người đều muốn cất giữ phần sản phẩm dư thừa.|mọi người đều muốn cất_giữ phần sản_phẩm dư_thừa
Câu 14|A.Sự bình đẳng giữa các thành viên.	B.Sự hợp tác trong quá trình lao động.C.Sự hưởng thụ bằng nhau.D.Mọi sinh hoạt và của cải được coi là của chung, việc chung, làm chung, ăn chung.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|. Tính cộng đồng trong thị tộc được biểu hiện rõ nét nhất ở yếu tố nào?|tính cộng_đồng trong thị_tộc được biểu_hiện rõ nét nhất ở yếu_tố nào|D.Mọi sinh hoạt và của cải được coi là của chung, việc chung, làm chung, ăn chung.|mọi sinh_hoạt và của_cải được coi là của chung việc chung làm chung ăn chung
Câu 15|A.Lao động nói chung. 		B. Chế tạo công cụ lao động.C. Biết cách giữ lửa trong tự nhiên.	D. Hình thành hệ thống ngôn ngữ nhằm trao đổi thông tin.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|. Nhân tố quyết định giúp con người loại bỏ dấu tich của vượn, tiến hóa  và hoàn thiện mình là|nhân_tố quyết_định giúp con_người loại_bỏ dấu tich của vượn tiến_hóa và hoàn_thiện mình là|A.Lao động nói chung|lao_động nói_chung
Câu 16|Công xã thị tộc. 				B. Bộ lạc nguyên thuỷ.C. Bầy người nguyên thuỷ.  			D. Thị tộc phụ hệ.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|. Đơn vị xã hội đầu tiên của loài người là|đơn_vị xã_hội đầu_tiên của loài_người là|C. Bầy người nguyên thuỷ|bầy người nguyên_thuỷ
Câu 17|Vì con người biết săn bắt, hái lượm và đánh cá.Vì con người phát hiện ra lửa và giữ lửa trong tự nhiên.Vì con người tiến tới biết trồng trọt và chăn nuôi.Vì con người biết chế tạo ra cung tên và săn bắt động vật.|exam grade 10|ĐỀ CƯƠNG SỬ 10  CÓ ĐÁP ÁN ( 2020- 2021)|. Trong lịch sử, vì sao thời đá mới được coi là một cuộc cách mạng.|trong lịch_sử vì_sao thời đá mới được coi là một cuộc cách_mạng|Vì con người tiến tới biết trồng trọt và chăn nuôi.|vì con_người tiến tới biết trồng_trọt và chăn_nuôi
