question_name|answers|exam_type|title|raw_question|processed_question|raw_correct_answer|processed_correct_answer
Câu 1|A. trục phát xít Đức, Italia, Nhật Bản.	B. trục Béclin, Rôma, Tôkiô.C. ba lò lửa chiến tranh.			D. mối đe dọa chiến tranh của trục phát xít.|exam grade 11|2020- ĐC 11- HC KÌ 2 2021 - CÓ ĐÁP ÁN_|: Những năm 30 thế kỉ XX, các nước phát xít Đức, Italia, Nhật Bản đã liên kết với nhau thành liên minh phát xít, được gọi là|những năm 30 thế_kỉ xx các nước phát_xít đức italia nhật bản đã liên_kết với nhau thành liên_minh phát_xít được gọi là|B. trục Béclin, Rôma, Tôkiô.|trục béclin rôma tôkiô
Câu 2|A. Nước Tiệp Khắc.		B. Nước Ba Lan.	C. Nước Áo.		D. Nước An-ba-ni.|exam grade 11|2020- ĐC 11- HC KÌ 2 2021 - CÓ ĐÁP ÁN_|: Để thành lập nước “Đại Đức”, trước hết Hít le quyết định sát nhập nước nào vào nước Đức?|để thành_lập nước “ đại_đức ” trước_hết hít le quyết_định sát nhập nước nào vào nước đức|C. Nước Áo.|nước áo
Câu 3|A. Liên Xô.		B. Anh.		C. Pháp.		D. Mĩ.|exam grade 11|2020- ĐC 11- HC KÌ 2 2021 - CÓ ĐÁP ÁN_|: Nước nào không bị chiến tranh thế giới lần thứ hai tàn phá mà ngước lại thu được nhiều lợi nhuận trong chiến tranh?|nước nào không bị chiến_tranh thế_giới lần thứ hai tàn_phá mà ngước lại thu được nhiều lợi_nhuận trong chiến_tranh|D. Mĩ.|mĩ
Câu 4|A.  Hiệp ước phòng thủ chung châu Âu.	B. Hiệp ước Xô – Đức không xâm phạm lẫn nhau.C. Hiệp ước liên minh quân sự.		D. Hiệp ước Bơ rét li tốt.|exam grade 11|2020- ĐC 11- HC KÌ 2 2021 - CÓ ĐÁP ÁN_|: Ngày 23/8/1939, Liên Xô và Đức kí với nhau hiệp ước nào?|ngày 2381939 liên xô và đức kí với nhau hiệp_ước nào|B. Hiệp ước Xô – Đức không xâm phạm lẫn nhau.|hiệp_ước xô – đức không xâm_phạm lẫn nhau
Câu 5|A. Anh.		B. Pháp. 		C. Nhật.			D. Mĩ.|exam grade 11|2020- ĐC 11- HC KÌ 2 2021 - CÓ ĐÁP ÁN_|: Hạm đội của nước nào bị thiệt hại nặng nề nhất ở trận Trân Châu Cảng?|hạm_đội của nước nào bị thiệt_hại nặng_nề nhất ở trận trân_châu cảng|D. Mĩ.|mĩ
Câu 6|A. Rô ma.		B. Giơ ne vơ.		C. Tô ki ô.			D. Béc lin.|exam grade 11|2020- ĐC 11- HC KÌ 2 2021 - CÓ ĐÁP ÁN_|: Tháng 9/ 1940, Hiệp ước tam cường ba nước Đức, Italia, Nhật Bản được kí kết tại|tháng 9 1940 hiệp_ước tam cường ba nước đức italia nhật bản được kí_kết tại|D. Béc lin.|béc lin
Câu 7|A. Chiến thắng Mát xcơ va.		B. Chiến thắng Xta lin grát.C. Chiến thắng Tula			D. Chiến thắng Xanh Pê- téc-bua.|exam grade 11|2020- ĐC 11- HC KÌ 2 2021 - CÓ ĐÁP ÁN_|: Chiến thắng nào của Hồng quân Liên Xô đã làm phá sản chiến lược “chiến tranh chớp nhoáng” của Hít le?|chiến_thắng nào của hồng_quân liên xô đã làm phá_sản chiến_lược “ chiến_tranh chớp_nhoáng ” của hít le|A. Chiến thắng Mát xcơ va.|chiến_thắng mát xcơ va
Câu 8|A. Thái Bình Dương.	B. Tây Nam Á.		C. Đông Nam Á.		D. Bắc Á.|exam grade 11|2020- ĐC 11- HC KÌ 2 2021 - CÓ ĐÁP ÁN_|: Trước khi chiến tranh Thái bình Dương bùng nổ, Nhật tiến hành đánh chiếm khu vực nào?|trước khi chiến_tranh thái_bình dương bùng_nổ nhật tiến_hành đánh chiếm khu_vực nào|C. Đông Nam Á.|đông nam á
Câu 9|A. Đánh nhanh thắng nhanh.		B. Chiến tranh chớp nhoáng.C. Đánh lâu dài.	                 D. Đánh chắc, tiến chắc.|exam grade 11|2020- ĐC 11- HC KÌ 2 2021 - CÓ ĐÁP ÁN_|: Đức thực hiện chiến lược gì để đánh chiếm Ba Lan ?|đức thực_hiện chiến_lược gì để đánh chiếm ba lan|B. Chiến tranh chớp nhoáng.|chiến_tranh chớp_nhoáng
Câu 10|A. Đối đầu với Đức.	                                      B. Sẵn sàng chiến đấu chống lại Đức.C. Liên kết với Anh, Pháp, Mĩ để cô lập Đức,       D. Ký với Đức Hiệp định Xô-Đức.|exam grade 11|2020- ĐC 11- HC KÌ 2 2021 - CÓ ĐÁP ÁN_|: Trước hành động chuẩn bị gây chiến tranh của phát xít Đức, Liên Xô có chính sách đối ngoại như thế nào?|trước hành_động chuẩn_bị gây chiến_tranh của phát_xít đức liên xô có chính_sách đối_ngoại như thế_nào|,       D. Ký với Đức Hiệp định Xô-Đức.|d ký với đức hiệp_định xôđức
