question_name|answers|exam_type|title|raw_question|processed_question|raw_correct_answer|processed_correct_answer
Câu 6|A. Tư sản.		B. Tiểu tư sản.		C. Vô sản.		D. Địa chủ.|exam grade 11|lop 11| : Đảng Quốc đại là đảng của giai cấp nào ở Ấn Độ?|đảng quốc đại là đảng của giai_cấp nào ở ấn_độ|A . Tư sản.|tư_sản
Câu 7|A. Giúp đỡ tư sản Ấn phát triển kỹ nghệ.	B. Thực hiện một số cải cách hành chính - xã hội.C. Thực hiện một số cải cách văn hóa - giáo dục.D. Nới rộng điều kiện cho họ tham gia các hội đồng tự trị.|exam grade 11|lop 11|: Yêu cầu chính trị của giai cấp tư sản Ấn Độ đối với thực dân Anh là gì? |yêu_cầu chính_trị của giai_cấp tư_sản ấn độ đối_với thực_dân anh là gì|D . Nới rộng điều kiện cho họ tham gia các hội đồng tự trị.|nới rộng điều_kiện cho họ tham_gia các hội_đồng tự_trị
Câu 8|"B. Đòi thực dân Anh phải thực hiện cải cách, phản đối đấu tranh bằng bạo lực.
C. Chuyển dần từ đấu tranh ôn hòa sang đấu tranh vũ trang vì một nước Ấn Độ tự trị.
D. Đấu tranh vũ trang lật đổ ách thống trị của thực dân Anh, xây dựng một quốc gia độc lập."|exam grade 11|lop 11|" : Chủ trương của Đảng Quốc đại trong 20 năm đầu (1885 – 1905) là
A. Đấu tranh chính trị kết hợp với đấu tranh vũ trang chống chủ nghĩa thực dân Anh."|"chủ_trương của đảng quốc đại trong 20 năm đầu 1885 – 1905 là 
 a đấu_tranh chính_trị kết_hợp với đấu_tranh vũ_trang chống chủ_nghĩa thực_dân anh"|B . Đòi thực dân Anh phải thực hiện cải cách, phản đối đấu tranh bằng bạo lực.|đòi thực_dân anh phải thực_hiện cải_cách phản_đối đấu_tranh bằng bạo_lực
Câu 9|A. Thỏa hiệp, ôn hòa .     	B. Vũ trang, bạo động.    C. Cải cách xã hội.	    D. Cải cách hành chính.|exam grade 11|lop 11|: Phái “cực đoan” ở Ấn Độ đấu tranh theo đường lối nào?|phái “ cực_đoan ” ở ấn độ đấu_tranh theo đường_lối nào|B . Vũ trang, bạo động.|vũ_trang bạo_động
Câu 10|A. Phong trào đấu tranh đòi thả Ti-lắc.				B. Khởi nghĩa Xi-pay.C. Phong trào đấu tranh chống đạo luật chia cắt Ben – gan.		D. Phong trào đấu tranh ôn hòa.|exam grade 11|lop 11|: Khẩu hiệu “Ấn Độ của người Ấn Độ” xuất hiện trong cuộc đấu tranh nào?|khẩu_hiệu “ ấn độ của người ấn_độ ” xuất_hiện trong cuộc đấu_tranh nào|C . Phong trào đấu tranh chống đạo luật chia cắt Ben – gan.|phong_trào đấu_tranh chống đạo_luật chia_cắt ben – gan
Câu 11|A. Khai thác nguồn tài nguyên thiên nhiên.	B. Khai hóa văn minh ở các nước này.C. Bóc lột nguồn nhân công rẻ mạt.D. Biến các nước này thành thị trường tiêu thụ hàng hóa cho chính quốc.|exam grade 11|lop 11|: Điều nào sau đây không thuộc mục đích xâm lược thuộc địa của các nước đế quốc?|điều nào sau đây không thuộc mục_đích xâm_lược thuộc_địa của các nước đế_quốc|B . Khai hóa văn minh ở các nước này.|khai_hóa văn_minh ở các nước này
Câu 12|A. Chính quyền Anh nắm quyền cai trị trực tiếp.B. Anh thực hiện hình thức cai trị gián tiếp.C. Người Ấn Độ được trao quyền tự trị.D. Kết hợp sự nắm quyền cai trị của tư sản Anh và tư sản Ấn. Câu  13: Mục đích chính của Anh khi thực hiện chính sách chia để trị ở Ấn Độ là gì?A. Mua chuộc giai cấp phong kiến bản xứ làm tay sai cho thực dân.B. Khơi sâu sự cách biệt về chủng tộc, đẳng cấp khiến xã hội Ấn Độ luôn bất ổn.C. Khơi sâu sự cách biệt giữa Ấn Độ giáo và Hồi giáo khiến mâu thuẫn tôn giáo càng gay gắt.D. Tạo chỗ dựa vững chắc cho chính quyền thực dân Anh ở Ấn Độ.Câu  14: Đối với thực dân Anh, thuộc địa Ấn Độ có vai trò như thế nào?A. Trở thành nơi giao lưu buôn bán lớn nhất.B. Trở thành nơi cung cấp nguyên liệu.C. Trở thành thuộc địa quan trọng nhất của thực dân Anh.D. Trở thành căn cứ quân sự quan trọng nhất của Anh ở Nam Á.Câu  15: Sự kiện nào đánh dấu giai đoạn giai cấp tư sản Ấn Độ bước lên vũ đài chính trị?A. Đảng Quốc dân đại hội được thành lập (1885).B. Khi phái cấp tiến (thường được gọi là phái “cực đoan”) được hình thành.C. Khi cao trào cách mạng 1905 – 1908 bùng nổ.D.  Khi Anh thực hiện chính sách chia để trị ở Ấn Độ.|exam grade 11|lop 11|: Anh đã thiết lập chính quyền cai trị ở Ấn Độ như thế nào?|anh đã thiết_lập chính_quyền cai_trị ở ấn độ như thế_nào|A . Đảng Quốc dân đại hội được thành lập (1885).|đảng quốc dân đại_hội được thành_lập 1885
Câu 16|A. đánh dấu sự thắng lợi của giai cấp tư sản Ấn Độ trong phong trào đấu tranh giải phóng dân tộc.B. đánh dấu một giai đoạn mới – giai đoạn giai cấp tư sản Ấn Độ bước lên vũ đài chính trị.C. đánh dấu bước ngoặt phong trào đấu tranh chống thực dân Anh đòi độc lập dân tộc.D. đánh dấu bước phát triển vượt bậc trong phong trào đấu tranh giải phóng dân tộc .|exam grade 11|lop 11|: Sự thành lập Đảng Quốc đại có ý nghĩa|sự thành_lập đảng quốc đại có ý_nghĩa|B . đánh dấu một giai đoạn mới – giai đoạn giai cấp tư sản Ấn Độ bước lên vũ đài chính trị.|đánh_dấu một giai_đoạn mới – giai_đoạn giai_cấp tư_sản ấn độ bước lên vũ_đài chính_trị
Câu 17|A. Đáp ứng vô điều kiện.	B. Đáp ứng có điều kiện.    C. Tìm cách hạn chế.     D. Thẳng tay đàn áp.|exam grade 11|lop 11|: Trước những đòi hỏi của giai cấp tư sản Ấn Độ, thái độ của thực dân Anh như thế nào?|trước những đòi_hỏi của giai_cấp tư_sản ấn độ thái_độ của thực_dân anh như thế_nào|C . Tìm cách hạn chế.|tìm cách hạn_chế
Câu 18|A. phong trào cách mạng dân chủ tư sản.	           B. phong trào giải phóng dân tộc.C. phong trào đấu tranh đòi dân sinh, dân chủ.	           D. phong trào cách mạng tư sản, chống đế quốc.|exam grade 11|lop 11|: Phong trào cách mạng ở Ấn Độ năm 1905 – 1907 mang tính chất|phong_trào cách_mạng ở ấn độ năm 1905 – 1907 mang tính_chất|D . phong trào cách mạng tư sản, chống đế quốc.|phong_trào cách_mạng tư_sản chống đế_quốc
