question_name|answers|exam_type|title|raw_question|processed_question|raw_correct_answer|processed_correct_answer
Câu 1|A. Kinh tế, chính trị, xã hội.		B. Kinh tế, văn hóa, xã hội.C. Kinh tế, văn hóa, quân sự.		D. Kinh tế, chính trị, quân sự. |exam grade 11|đề cương sừ 11 học kì 1 có đáp án 2018- 2019|. Đến giữa thế kỉ XIX, xã hội Nhật Bản chứa đựng mâu thuẫn trong những lĩnh vực nào?|đến giữa thế_kỉ xix xã_hội nhật bản chứa_đựng mâu_thuẫn trong những lĩnh_vực nào|Kinh tế, chính trị, xã hội.|kinh_tế chính_trị xã_hội
Câu 2|A. thủ tiêu chế độ Mạc Phủ thành lập chính phủ mới.B. thực hiện quyền bình đẳng giữa các công dân.C. cử những học sinh giỏi đi du học ở phương Tây.D. xóa bỏ chế độ nô lệ vì nợ.|exam grade 11|đề cương sừ 11 học kì 1 có đáp án 2018- 2019|. Ý nào sau đây không phải là nội dung của cuộc Duy tân Minh Trị|ý nào sau đây không phải là nội_dung của cuộc duy_tân minh_trị|. xóa bỏ chế độ nô lệ vì nợ.|xóa bỏ chế_độ nô_lệ vì nợ
Câu 3|A. tư sản.           B. địa chủ.           C. quý tộc.            D. quý tộc tư sản. |exam grade 11|đề cương sừ 11 học kì 1 có đáp án 2018- 2019|. Trong cải cách về chính trị của Minh Trị, giai cấp nào được đề cao|trong cải_cách về chính_trị của minh trị giai_cấp nào được đề_cao|. quý tộc tư sản.|quý_tộc tư_sản
Câu 4| A. thiên Hoàng.           B. tư sản.      C. tướng quân.               D. thủ tướng.|exam grade 11|đề cương sừ 11 học kì 1 có đáp án 2018- 2019|. Đến giữa thế kỉ XIX, quyền hành thực tế ở Nhật Bản nằm trong tay|đến giữa thế_kỉ xix quyền_hành thực_tế ở nhật bản nằm trong tay|. tướng quân.|tướng quân
Câu 5|A. Anh, Pháp, Nga, Hà Lan.                           B. Anh, Pháp, Đức, Áo.C. Anh, Pháp, Nga, Trung Quốc.                    D. Anh, Pháp, Nga, Đức.|exam grade 11|đề cương sừ 11 học kì 1 có đáp án 2018- 2019|. Ngoài Mĩ, còn những nước đế quốc nào bắt Nhật kí hiệp ước bất bình đẳng|ngoài mĩ còn những nước đế_quốc nào bắt nhật_kí hiệp_ước bất_bình_đẳng|. Anh, Pháp, Đức, Áo.|anh pháp đức áo
Câu 6|A. Công nghiệp, thương nghiệp, ngân hàng.   B. Công nghiệp, ngoại thương, hàng hải.C. Nông nghiệp, công nghiệp, ngoại thương.  D. Nông nghiệp, thương nghiệp, ngân hàng.|exam grade 11|đề cương sừ 11 học kì 1 có đáp án 2018- 2019|. Các công ti độc quyền đầu tiên ở Nhật ra đời trong các ngành kinh tế nào?|các công_ti độc_quyền đầu_tiên ở nhật ra_đời trong các ngành kinh_tế nào|. Công nghiệp, thương nghiệp, ngân hàng|công_nghiệp thương nghiệp ngân_hàng
Câu 7|A. Tướng quân.                            B. Minh Trị.C. Tư sản công nghiệp.                D. Quý tộc tư sản hóa.|exam grade 11|đề cương sừ 11 học kì 1 có đáp án 2018- 2019|. Ai là người lãnh đạo cuộc Duy tân ở Nhật Bản?|ai là người lãnh_đạo cuộc duy_tân ở nhật_bản|. Minh Trị|minh_trị
Câu 8|A. Chính trị, kinh tế, quân sự và ngoại giao.B. Chính trị, quân sự, văn hóa - giáo dục và ngoại giao với Mĩ.C. Chính trị, kinh tế, quân sự, văn hóa, giáo dục.D. Kinh tế, quân sự, giáo dục và ngoại giao.|exam grade 11|đề cương sừ 11 học kì 1 có đáp án 2018- 2019|. Cuộc Duy tân Minh Trị ở Nhật Bản được tiến hành trên các lĩnh vực nào?|cuộc duy_tân minh trị ở nhật bản được tiến_hành trên các lĩnh_vực nào|. Chính trị, kinh tế, quân sự, văn hóa, giáo dục.|chính_trị kinh_tế quân_sự văn_hóa giáo_dục
Câu 9|A. Quý tộc tư sản hóa.             B. Tư sản.       C. Quý tộc phong kiến.           D. Địa chủ.|exam grade 11|đề cương sừ 11 học kì 1 có đáp án 2018- 2019|. Trong chính phủ mới của Minh Trị, tầng lớp nào giữ vai trò quan trọng?|trong chính_phủ mới của minh_trị tầng_lớp nào giữ vai_trò quan_trọng|. Quý tộc tư sản hóa|quý_tộc tư_sản_hóa
Câu 10|A. Cộng hòa.            B. Quân chủ lập hiến    C. Quân chủ chuyên chế.       D. Liên bang.|exam grade 11|đề cương sừ 11 học kì 1 có đáp án 2018- 2019|. Thể chế chính trị của Nhật Bản theo Hiến pháp năm 1889 là|thể_chế chính_trị của nhật bản theo hiến_pháp năm 1889 là|. Quân chủ lập hiế|quân_chủ lập hiế
Câu 11|A. Đài Loan, Trung Quốc, Pháp.                  B. Đài Loan, Nga, Mĩ.C. Nga, Đức, Trung Quốc.                            D. Đài Loan, Trung Quốc, Nga.Câu12 . Để thoát khỏi tình trạng khủng hoảng toàn diện của đất nước vào giữa thế kỉ XIX, Nhật Bản đãA. duy trì chế độ phong kiến.                                        B. tiến hành những cải cách tiến bộ.C. nhờ sự giúp đỡ của các nước tư bản phương Tây.        D. thiết lập chế độ Mạc Phủ mới.Câu14. Chủ nghĩa đế quốc Nhật là chủ nghĩa đế quốc quân phiệt hiếu chiến vì:A. Tiến lên chủ nghĩa tư bản nhưng tầng lớp Samurai có ưu thế chính trị và chủ trương xây dựng Nhật Bản bằng sức mạnh quân sự.B. Tiến lên chủ nghĩa tư bản nhưng quyền lực vẫn do tầng lớp quí tộc tư sản hóa nắm quyền.C. Tiến lên chủ nghĩa tư bản nhưng giai cấp phong kiến vẫn còn nắm chính quyền.D. Tầng lớp quí tộc Samurai có quyền lực tuyệt đối trong bộ máy nhà nước.|exam grade 11|đề cương sừ 11 học kì 1 có đáp án 2018- 2019|. Nhật Bản chuyển sang giai đoạn Đế quốc chủ nghĩa gắn liền với các cuộc chiến tranh xâm lược:|nhật bản chuyển sang giai_đoạn đế_quốc chủ_nghĩa gắn liền với các cuộc chiến_tranh xâm_lược|. Tiến lên chủ nghĩa tư bản nhưng quyền lực vẫn do tầng lớp quí tộc tư sản hóa nắm quyền|tiến lên chủ_nghĩa tư_bản nhưng quyền_lực vẫn do tầng_lớp quí_tộc tư_sản_hóa nắm quyền
