question_name|answers|exam_type|title|raw_question|processed_question|raw_correct_answer|processed_correct_answer
Câu 1|A. Hội nghị Ianta (Liên Xô).B. Hội nghị Pốtxđam (Đức).C. Hội nghị Niu Oóc (Mĩ).D. Hội nghị Xan Phranxixcô (Mĩ).|exam grade 12|CÂU HO|. Từ ngày 4 đến 11-2-1945 đã diễn ra sự kiện lịch sử nào dưới đây?|từ ngày 4 đến 1121945 đã diễn ra sự_kiện lịch_sử nào dưới đây|A. Hội nghị Ianta (Liên Xô).|hội_nghị ianta liên_xô
Câu 2|A. Anh, Pháp, Mĩ.B. Anh, Pháp, Đức.C. Liên Xô, Mĩ, Anh.D. Mĩ, Liên Xô, Trung Quốc.|exam grade 12|CÂU HO|. Dự Hội nghị Ianta (2-1945) có nguyên thủ của những quốc gia nào dưới đây?|dự hội_nghị ianta 21945 có nguyên_thủ của những quốc_gia nào dưới đây|C. Liên Xô, Mĩ, Anh.|liên xô mĩ anh
Câu 3|A. Oasinhtơn (Mĩ).     B. Ianta (Liên Xô).     C. Pốtxđam (Đức).         D. Luân Đôn (Anh).|exam grade 12|CÂU HO|. Hội nghị cấp cao của ba cường quốc Liên Xô, Mĩ, Anh (2/1945), được tổ chức tại quốc gia nào dưới đây?|hội_nghị cấp cao của ba cường_quốc liên xô mĩ anh 21945 được tổ_chức tại quốc_gia nào dưới đây|B. Ianta (Liên Xô).|ianta liên_xô
Câu 4|A. Anh.           B. Mĩ.                C. Pháp.              D. Liên Xô.|exam grade 12|CÂU HO|. Theo quyết định của Hội nghị Ianta (2-1945), quân đội nước nào sẽ vào chiếm đóng Nhật Bản và Nam Triều Tiên?|theo quyết_định của hội_nghị ianta 21945 quân_đội nước nào sẽ vào chiếm_đóng nhật bản và nam triều_tiên|B. Mĩ|mĩ
Câu 5|A. Bản Hiến chương Liên hợp quốc chính thức có hiệu lực.B. Mĩ và Liên Xô phê chuẩn bản Hiến chương Liên hợp quốc.C. Hội nghị Xan Phranxixcô (Mĩ) thông qua Hiến chương Liên hợp quốc.D. Năm nước Ủy viên thường trực Hội đồng Bảo an thông qua bản Hiến chương.|exam grade 12|CÂU HO|. Ngày 24-10-1945 đã diễn ra sự kiện lịch sử nào dưới đây?|ngày 24101945 đã diễn ra sự_kiện lịch_sử nào dưới đây|A. Bản Hiến chương Liên hợp quốc chính thức có hiệu lực.|bản hiến_chương liên_hợp quốc chính_thức có hiệu_lực
Câu 6|A. Liên hợp quốc (UN).B. Hội đồng tương trợ kinh tế (SEV).C. Tổ chức thương mại thế giới (WTO).D. Hiệp hội các quốc gia Đông Nam Á (ASEAN).|exam grade 12|CÂU HO|. Tháng 9-1977, Việt Nam đã chính thức tham gia vào tổ chức nào dưới đây?|tháng 91977 việt_nam đã chính_thức tham_gia vào tổ_chức nào dưới đây|A. Liên hợp quốc (UN).|liên_hợp quốc un
Câu 7|A. thỏa thuận về việc đóng quân tại các nước nhằm giải giáp phát xít.B. phân chia thành quả chiến thắng giữa các nước thắng trận.C. thông qua hiến chương thành lập tổ chức Liên hợp quốc.D. Liên Xô sẽ tham chiến chống phát xít Nhật ở châu Á.|exam grade 12|CÂU HO|. Từ ngày 25-4 đến ngày 26-6-1945, Đại biểu 50 nước họp hội nghị quốc tế ở Xan Phranxcô (Mĩ) nhằm|từ ngày 254 đến ngày 2661945 đại_biểu 50 nước họp hội_nghị quốc_tế ở xan phranxcô mĩ nhằm|C. thông qua hiến chương thành lập tổ chức Liên hợp quốc.|thông_qua hiến_chương thành_lập tổ_chức liên_hợp quốc
Câu 8|A. Ban Thư kí.                                B. Đại hội đồng. C. Hội đồng Bảo an.                      D. Hội đồng Quản thác.|exam grade 12|CÂU HO|. Cơ quan nào dưới đây của Liên hợp quốc có đầy đủ đại diện các nước thành viên, mỗi năm họp một lần?|cơ_quan nào dưới đây của liên_hợp quốc có đầy_đủ đại_diện các nước thành_viên mỗi năm họp một lần|B. Đại hội đồng.|đại_hội_đồng
Câu 9|A. Hội nghị Ianta (Liên Xô).                 B. Hội nghị Niu Oóc (Mĩ).C. Hội nghị Pốtxđam (Đức).                 D. Hội nghị Xan Phranxixcô (Mĩ).|exam grade 12|CÂU HO|. Hiến chương Liên hợp quốc được chính thức thông qua tại hội nghị nào dưới đây?|hiến_chương liên_hợp quốc được chính_thức thông_qua tại hội_nghị nào dưới đây|D. Hội nghị Xan Phranxixcô (Mĩ).|hội_nghị xan phranxixcô mĩ
Câu 10|A. Hội Quốc liên.                               B. Đệ tam quốc tế.          C. Liên minh tiến bộ quốc tế.             D. Khối Đồng minh chống phát xít.|exam grade 12|CÂU HO|. Tổ chức nào dưới đây là tiền thân của tổ chức Liên hợp quốc ngày nay?|tổ_chức nào dưới đây là tiền_thân của tổ_chức liên_hợp quốc ngày_nay|A. Hội Quốc liên.|hội quốc liên
Câu 13|A. Phải phục tùng Đại hội đồng.B. Giữ vai trò trọng yếu.C. Là quan sát viên.D. Giữ vai trò cố vấn.|exam grade 12|CÂU HO|. Hội đồng Bảo an có vai trò như thế nào trong tổ chức Liên hợp quốc?|hội_đồng bảo_an có vai_trò như thế_nào trong tổ_chức liên_hợp quốc|B. Giữ vai trò trọng yếu.|giữ vai_trò trọng_yếu
Câu 14|A. Mĩ.               B. Anh.               C. Liên Xô.         D. Trung Quốc.|exam grade 12|CÂU HO|. Theo quyết định của Hội nghị Ianta, nước nào sẽ chiếm đóng Nhật Bản sau Chiến tranh thế giới thứ hai?|theo quyết_định của hội_nghị ianta nước nào sẽ chiếm_đóng nhật bản sau chiến_tranh thế_giới thứ hai|A. Mĩ.|mĩ
Câu 15|A. Hiệp hội các quốc gia Đông Nam Á (ASEAN).B. Hiệp ước Đông Nam Á (SEATO).C. Liên minh châu Âu (EU).D. Liên hợp quốc (UN).|exam grade 12|CÂU HO|. “Duy trì hòa bình và an ninh thế giới” là mục đích hoạt động của tổ chức nào dưới đây?|“ duy_trì hòa bình và an_ninh thế_giới ” là mục_đích hoạt_động của tổ_chức nào dưới đây|D. Liên hợp quốc (UN).|liên_hợp quốc un
Câu 16|A. Ban Thư kí.B. Đại hội đồng.C. Hội đồng bộ trưởng.D. Hồi đồng Kinh tế và Xã hội.|exam grade 12|CÂU HO|. Cơ quan nào dưới đây không thuộc tổ chức Liên hợp quốc?|cơ_quan nào dưới đây không thuộc tổ_chức liên_hợp quốc|C. Hội đồng bộ trưởng.|hội_đồng_bộ_trưởng
