question_name|answers|exam_type|title|raw_question|processed_question|raw_correct_answer|processed_correct_answer
Câu 1|A. Mĩ thay chân Pháp, đưa tay sai lên nắm chính quyền ở miền Nam.B. miền Nam trở thành thuộc địa kiểu mới, căn cứ quân sự của Mĩ.C. miền Bắc được hoàn toàn giải phóng, tiến lên CNXH.D. đất nước bị chia cắt làm hai miền với hai chế độ chính trị khác nhau.|exam grade 12|Câu-hỏi-Lịch-sử-12-TT|. Nét nổi bật nhất của tình hình nước ta sau Hiệp định Giơnevơ 1954 về Đông Dương là|nét nổi_bật nhất của tình_hình nước ta sau hiệp_định giơnevơ 1954 về đông dương là|D . đất nước bị chia cắt làm hai miền với hai chế độ chính trị khác nhau.|đất_nước bị chia_cắt làm hai miền với hai chế_độ chính_trị khác nhau
Câu 2|A. biến miền Nam thành thuộc địa kiểu mới.	                        B. đưa quân đội Mĩ vào miền Nam.C. biến nước ta thành thị trường tiêu thụ hàng hoá của Mĩ.	D. phá hoại các cơ sở kinh tế của ta.|exam grade 12|Câu-hỏi-Lịch-sử-12-TT|. Âm mưu của Mĩ đối với miền Nam Việt Nam sau năm 1954 là|âm_mưu của mĩ đối_với miền nam việt nam sau năm 1954 là|A . biến miền Nam thành thuộc địa kiểu mới|biến miền nam thành thuộc_địa kiểu mới
Câu 3|A. Chống bình định.    	B. Phá ấp chiến lược.     	C. Đồng khởi.     	D. Trừ gian diệt ác.|exam grade 12|Câu-hỏi-Lịch-sử-12-TT|. Ngày 17-1-1960 tại Bến Tre nổ ra phong trào đấu tranh nào?	|ngày 1711960 tại bến tre nổ ra phong_trào đấu_tranh nào|C . Đồng khởi.|đồng_khởi
Câu 4|A. Dùng đấu tranh ngoại giao để đánh đổ ách thống trị Mĩ - Diệm.B. Nhờ sự giúp đỡ của các nước ngoài để đánh Mĩ - Diệm.C. Giành chính quyền bằng con đường đấu tranh  hòa bình.D. Sử dụng bạo lực cách mạng để đánh đổ chính quyền Mĩ - Diệm.|exam grade 12|Câu-hỏi-Lịch-sử-12-TT|. Quyết định cơ bản của Hội nghị Ban chấp hành Trung ương lần thứ 15 (1-1959) là gì?|quyết_định cơ_bản của hội_nghị ban chấp_hành trung_ương lần thứ 15 11959 là gì|D . Sử dụng bạo lực cách mạng|sử_dụng bạo_lực cách_mạng
Câu 5|A. Mỹ - Diệm phá hoại Hiệp định Giơnevơ, thực hiện chính sách “tố cộng”, “diệt cộng”.B. Nghị quyết Hội nghị lần thứ 15 của Đảng.C. Do chính sách cai trị của Mỹ - Diệm.D. Mỹ - Diệm tăng cường khủng bố, làm cho cách mạng miền Nam bị tổn thất nặng nề.|exam grade 12|Câu-hỏi-Lịch-sử-12-TT|: Nội dung nào dưới đây là điều kiện quyết định làm bùng nổ phong trào “Đồng khởi” (1960)?|nội_dung nào dưới đây là điều_kiện quyết_định làm bùng_nổ phong_trào “ đồng_khởi ” 1960|B . Nghị quyết Hội nghị lần thứ 15 của Đảng.|nghị_quyết hội_nghị lần thứ 15 của đảng
Câu 6|A. Bình Định		B. Tây nguyên	       	C. Sài Gòn - Gia Định	       	D. Bến Tre|exam grade 12|Câu-hỏi-Lịch-sử-12-TT|: Phong trào Đồng Khởi nổ ra ở đâu đầu tiên ở  |phong_trào đồng_khởi nổ ra ở đâu đầu_tiên ở|D . Bến Tre|bến_tre
Câu 7|A. quân đội Sài Gòn.                      B. quân đội Sài Gòn đảm nhiệm, không có sự chi viện của Mĩ.C. quân Mĩ và quân đồng minh.     D. quân đội Sài Gòn và quân Đồng minh của Mĩ.|exam grade 12|Câu-hỏi-Lịch-sử-12-TT|: Lực lượng nòng cốt thực hiện chiến lược “Chiến tranh đặc biệt” ở miền Nam là|lực_lượng nòng_cốt thực_hiện chiến_lược “ chiến_tranh đặc_biệt ” ở miền nam là|A . quân đội Sài Gòn.|quân_đội sài_gòn
Câu 8|A. Chiến lược “chiến tranh đặc biệt”.		     B. Chiến lược “chiến tranh cục bộ”.C. Chiến lược “Việt Nam hóa chiến tranh”.	     D. Chiến lược “chiến tranh đơn phương”.|exam grade 12|Câu-hỏi-Lịch-sử-12-TT|. Chiến thắng Bình Giã (2-12-1964) là thắng lợi của quân dân miền Nam chống chiến lược chiến tranh nào của Mĩ ?|chiến_thắng bình giã 2121964 là thắng_lợi của quân_dân miền nam chống chiến_lược chiến_tranh nào của mĩ|A . Chiến lược “chiến tranh đặc biệt”.|chiến_lược “ chiến_tranh đặc_biệt ”
Câu 9|A.Thực hiện chương trình bình định.	B. Lập “Ấp chiến lược”C. Mở các cuộc hành quân càn quét.	D. Tăng nhanh lực lượng quân đội Sài Gòn|exam grade 12|Câu-hỏi-Lịch-sử-12-TT|. Nhằm đẩy lực lượng cách mạng ra khỏi các xã, ấp, Mĩ và chính quyền Sài Gòn đã làm gì?|nhằm đẩy lực_lượng cách_mạng ra khỏi các xã ấp mĩ và chính_quyền sài_gòn đã làm gì|B . Lập “Ấp chiến lược”|lập “ ấp chiến_lược ”
Câu 10|A. Làm phá sản chiến lược chiến tranh đặc biệt của Mỹ.B. Giáng một đòn mạnh vào chính sách thực dân mới của Mĩ.C. Đưa cách mạng miền Nam chuyển từ thế giữ gìn lực lượng sang thế tiến công.D. Sự ra đời của Mặt trận giải phóng miền Nam Việt Nam (20 – 12 – 1960).|exam grade 12|Câu-hỏi-Lịch-sử-12-TT|. Nội dung nào dưới đây không phản ánh đúng ý nghĩa của phong trào “Đồng Khởi” (1959-1960) ở miền Nam Việt Nam?|nội_dung nào dưới đây không phản_ánh đúng ý_nghĩa của phong_trào “ đồng_khởi ” 19591960 ở miền nam việt_nam|A . Làm phá sản chiến lược chiến tranh đặc biệt của Mỹ.|làm phá_sản chiến_lược chiến_tranh đặc_biệt của mỹ
Câu 11|A. tiến hành bằng lực lượng quân Mĩ.          B. mở các cuộc hành quân “tìm diệt” “bình định” ở miền Nam.C. tấn công quân giải phóng ở Vạn Tường - Quảng Ngãi.      D. biến miền Nam Việt Nam thành thuộc địa kiểu mới.|exam grade 12|Câu-hỏi-Lịch-sử-12-TT|. Nội dung nào dưới đây là điểm giống nhau cơ bản giữa chiến lược “Chiến tranh đặc biệt” của Mĩ ở miền Nam Việt Nam 1961-1965 và chiến lược “Chiến tranh cục bộ” 1965-1968|nội_dung nào dưới đây là điểm giống nhau cơ_bản giữa chiến_lược “ chiến_tranh đặc_biệt ” của mĩ ở miền nam việt nam 19611965 và chiến_lược “ chiến_tranh cục_bộ ” 19651968|D . biến miền Nam|biến miền nam
Câu 12|A. “Dùng quân Đồng minh Mĩ đánh người Việt”.		B. “Lấy chiến tranh nuôi chiến tranh”.C. “Dùng người Đông Dương đánh người Đông Dương”.	D. “Dùng người Việt đánh người Việt”.|exam grade 12|Câu-hỏi-Lịch-sử-12-TT|. Nội dung nào dưới đây là điểm khác nhau cơ bản giữa chiến lược “Chiến tranh đặc biệt” của Mĩ ở miền Nam Việt Nam 1961-1965 và chiến lược “Việt Nam hóa” chiến tranh 1969 - 1973 ở miền Nam Việt Nam?|nội_dung nào dưới đây là điểm khác nhau cơ_bản giữa chiến_lược “ chiến_tranh đặc_biệt ” của mĩ ở miền nam việt nam 19611965 và chiến_lược “ việt nam_hóa ” chiến_tranh 1969 1973 ở miền nam việt_nam|C . “Dùng người Đông Dương đánh người Đông|“ dùng người đông dương đánh người đông
Câu 13|A. Sử dụng con đường đấu tranh ngoại giao giành chính quyền.B. Sử dụng bạo lực cách mạng giành chính quyền về tay nhân dân.C. Sử dụng con đường đấu tranh vũ trang giành chính quyền.D. Sử dụng con đường đấu tranh chính trị kết hợp với đấu tranh vũ trang.|exam grade 12|Câu-hỏi-Lịch-sử-12-TT|. Hội nghị lần thứ 15 Ban chấp hành Trung ương  Đảng (1-1959) đã để lại bài học kinh nghiệm nào cho Đảng trong quá trình lãnh đạo cách mạng Việt Nam thời kì chống Mĩ?|hội_nghị lần thứ 15 ban chấp_hành trung_ương đảng 11959 đã để lại bài_học kinh_nghiệm nào cho đảng trong quá_trình lãnh_đạo cách_mạng việt_nam thời_kì chống mĩ|B . Sử dụng bạo lực cách mạng giành chính quyền về tay nhân dân.|sử_dụng bạo_lực cách_mạng giành chính_quyền về tay nhân_dân
