question_name|answers|exam_type|title|raw_question|processed_question|raw_correct_answer|processed_correct_answer
Câu 1|A.Tư sản và tiểu tư sản.			B.Công nhân và tư sản.C.Công nhân và tiểu tư sản.			D.Địa chủ và tư sản dân tộc.|exam grade 12|LSVN - K12|. Những giai cấp mới ra đời ở Việt Nam sau chiến tranh thế giới thứ nhất là|những giai_cấp mới ra_đời ở việt nam sau chiến_tranh thế_giới thứ nhất_là|A.Tư sản và tiểu tư sản.|tư_sản và tiểu tư_sản
Câu 2|A.Học sinh, sinh viên, Trí Thức.	B.Tiểu Địa Chủ.	C.Tư sản dân tộc.	D.Tiểu tư sản.|exam grade 12|LSVN - K12|. Ở Việt Nam tầng lớp thường nhạy cảm với thời cuộc và tha thiết canh tân đất nước là|ở việt_nam tầng_lớp thường nhạy_cảm với thời_cuộc và tha_thiết canh tân đất_nước là|A.Học sinh, sinh viên, Trí Thức|học_sinh sinh_viên trí_thức
Câu 3|A.10 năm (1919 -1929), chỉ tập trung vào hai ngành công nghiệp và nông nghiệp.B.10 năm (1919 -1929), đầu tư tất cả các ngành nhưng tập trung chủ yếu vào công - nông nghiệp.C.7 năm (1919- 1925), đầu tư ở mọi lĩnh vực nhưng tập trung chủ yếu vào công nghiệp và nông nghiệp.D.10 năm (1914 -1925), đầu tư tất cả các ngành nhưng tập trung chủ yếu vào công - nông nghiệp.|exam grade 12|LSVN - K12|. Quy mô và thời gian thực dân Pháp tiến hành cuộc khai thác thuộc địa lần thứ hai ở Việt Nam là|quy_mô và thời_gian thực_dân pháp tiến_hành cuộc khai_thác thuộc_địa lần thứ hai ở việt nam là|B.10 năm (1919 -1929), đầu tư tất cả các ngành nhưng tập trung chủ yếu vào công - nông nghiệp.|10 năm 1919 1929 đầu_tư tất_cả các ngành nhưng tập_trung chủ_yếu vào công_nông_nghiệp
Câu 4|A.Thương nghiệp.	B.Công nghiệp.	C. thủ công nghiệp.		D.Nông nghiệp.|exam grade 12|LSVN - K12|. Trong cuộc khai thác thuộc địa lần thứ hai ở Đông Dương (1919-1929), thực dân Pháp đầu tư vốn nhiều nhất vào ngành kinh tế nào?|trong cuộc khai_thác thuộc_địa lần thứ hai ở đông dương 19191929 thực_dân pháp đầu_tư vốn nhiều nhất vào ngành kinh_tế nào|D.Nông nghiệp|nông_nghiệp
Câu 5|A.Đại địa chủ và tư sản mại Bản.		B.Trung tiểu địa chủ và tư sản mại Bản.C.Trung địa chủ và tư sản mại Bản.		D.Tiểu địa chủ và tư sản mại Bản.|exam grade 12|LSVN - K12|. Sau chiến tranh thế giới thứ nhất, cùng với thực dân Pháp lực lượng xã hội nào dưới đây trở thành đối tượng của Cách mạng Việt Nam?|sau chiến_tranh thế_giới thứ nhất cùng với thực_dân pháp lực_lượng xã_hội nào dưới đây trở_thành đối_tượng của cách_mạng việt_nam|A.Đại địa chủ và tư sản mại Bản.|đại địa chủ và tư_sản mại_bản
Câu 6|A.Người Nhà Quê.	B.Tin tức.		C.Tiềnphong.			D.Dân chúng.|exam grade 12|LSVN - K12|. Tờ báo nào dưới đây là của tiểu tư sản trí thức ở Việt Nam giai đoạn 1919-1925?|tờ báo nào dưới đây là của tiểu tư_sản trí_thức ở việt_nam giai_đoạn 19191925|A.Người Nhà Quê|người nhà_quê
Câu 7|A.Đảng lập hiến.	B.Hội phục Việt.	C.Đảng Thanh Niên.		D.Việt Nam Nghĩa Đoàn.|exam grade 12|LSVN - K12|. Trong phong trào Dân tộc dân chủ ở Việt Nam từ năm 1919 đến năm 1925, một số tư sản và địa chủ lớn ở Nam Kỳ thành lập tổ chức chính trị nào dưới đây?|trong phong_trào dân_tộc dân_chủ ở việt_nam từ năm 1919 đến năm 1925 một_số tư_sản và địa chủ lớn ở nam kỳ thành_lập tổ_chức chính_trị nào dưới đây|A.Đảng lập hiến|đảng lập_hiến
Câu 8|A.Cuộc đấu tranh đòi trả tự do cho Phan Bội Châu.		B. đám tang Phan Châu Trinh.C.Xuất bản “ Bản án chế độ thực dân Pháp”.		D.Thành lập Hội Việt Nam Cách mạng Thanh niên.|exam grade 12|LSVN - K12|. Trong phong trào yêu nước dân chủ công khai ở Việt Nam, có sự kiện nào nổi bật trong năm 1925?|trong phong_trào yêu nước dân_chủ_công_khai ở việt nam có sự_kiện nào nổi_bật trong năm 1925|A.Cuộc đấu tranh đòi trả tự do cho Phan Bội Châu.|cuộc đấu_tranh đòi trả tự_do cho phan bội châu
Câu 9|A.Sự thật.		B.Nhân đạo.		C.Người Cùng Khổ.		D.Đời sống công nhân.|exam grade 12|LSVN - K12|. Tờ báo nào dưới đây do Nguyễn Ái Quốc làm chủ nhiệm, kiêm chủ bút trong thời gian hoạt động ở nước ngoài?|tờ báo nào dưới đây do nguyễn ái_quốc làm_chủ_nhiệm kiêm chủ bút trong thời_gian hoạt_động ở nước_ngoài|C.Người Cùng Khổ|người cùng_khổ
Câu 10|A.Sự thiết lập quan hệ giữa Việt Nam với các nước thuộc địa trên thế giới.B.Bước ngoặt quyết định trong cuộc đời hoạt động của Nguyễn Ái Quốc.C.Sự Chấm dứt tình trạng khủng hoảng về đường lối cứu nước ở Việt Nam.D.Bước ngoặt quyết định trong tiến trình phát triển của Cách mạng Việt Nam.|exam grade 12|LSVN - K12|. Việc Nguyễn Ái Quốc bỏ phiếu tán thành gia nhập quốc tế cộng sản và tham gia sáng lập đảng cộng sản Pháp (12/1920) là mốc đánh dấu|việc nguyễn ái_quốc bỏ_phiếu tán_thành gia_nhập quốc_tế cộng_sản và tham_gia sáng_lập đảng cộng_sản pháp 121920 là mốc đánh_dấu|B.Bước ngoặt quyết định trong cuộc đời hoạt động của Nguyễn Ái Quốc.|bước_ngoặt quyết_định trong cuộc_đời hoạt_động của nguyễn ái_quốc
Câu 11|A.Đảng Thanh niên.			B.Đảng lập hiến.C.Việt Nam Quốc dân Đảng.		D.Việt Nam Nghĩa Đoàn.|exam grade 12|LSVN - K12|. Cuộc khởi nghĩa Yên Bái (2/1930) ở Việt Nam do tổ chức nào lãnh đạo?|cuộc khởi_nghĩa yên bái 21930 ở việt_nam do tổ_chức nào lãnh_đạo|C.Việt Nam Quốc dân Đảng|việt nam quốc dân đảng
Câu 12|A.Hội Việt Nam Cách mạng Thanh niên,  An Nam Cộng Sản Đảng, Đông Dương Cộng sản Liên Đoàn.B.Đông Dương Cộng Sản Đảng, An Nam Cộng Sản Đảng, Dương Cộng sản Liên Đoàn.C.Hội Việt Nam Cách mạng Thanh niên, An Nam Cộng Sản Đảng, Đông Dương Cộng Sản Đảng.D.Tân Việt cách mạng Đảng, An Nam Cộng Sản Đảng, Dương Cộng Sản Đảng.|exam grade 12|LSVN - K12|. Năm 1929, Những tổ chức cộng sản nào xuất hiện ở Việt Nam?|năm 1929 những tổ_chức cộng_sản nào xuất_hiện ở việt_nam|B.Đông Dương Cộng Sản Đảng, An Nam Cộng Sản Đảng, Dương Cộng sản Liên Đoàn.|đông dương cộng_sản đảng an nam cộng_sản đảng dương cộng_sản liên_đoàn
