document_type|page_no|content|part|chapter|lesson
sgk 12|0005|"Chiến tranh thế giới thứ hai kết thúc đã mở ra một giai đoạn phát triển mới của tình hình thế giới. Một trật tự thế giới mới được hình thành với đặc trưng lớn là thế giới chia thành hai phe – tư bản chủ nghĩa và xã hội chủ nghĩa, do hai siêu cường Mĩ và Liên Xô đứng đầu mỗi phe.
Các quốc gia trên thế giới trong những năm đầu sau chiến tranh dần dần bị phân hoá theo đặc trưng đó. Liên hợp quốc ra đời như một công cụ duy trì trật tự thế giới mới vừa được hình thành.
I- HỘI NGHỊ LANTA (2 – 1945) VÀ NHỮNG THOẢ THUẬN CỦA BA CƯỜNG QUỐC Đầu năm 1945, Chiến tranh thế giới thứ hai bước vào giai đoạn kết thúc.
Nhiều vấn đề quan trọng và cấp bách đặt ra trước các cường quốc Đồng minh.
Đó là : 1. Nhanh chóng đánh bại hoàn toàn các nước phát xít ; 2. Tổ chức lại thế giới sau chiến tranh ; 3. Phân chia thành quả chiến thắng giữa các nước thắng trận.
Trong bối cảnh đó, một hội nghị quốc tế đã được triệu tập tại Ianta (Liên Xô) từ ngày 4 đến ngày 11 - 2 - 1945, với sự tham dự của nguyên thủ ba cường quốc là I. Xtalin (Liên Xô), Ph. Rudoven (Mĩ) và U. Sớcoin (Anh)."|PHẦN MỘT : LỊCH SỬ THẾ GIỚI HIỆN ĐẠI TỪ NĂM 1945 ĐẾN NĂM 2000|Chương I SỰ HÌNH THÀNH TRẬT TỰ THẾ GIỚI MỚI : SAU CHIẾN TRANH THẾ GIỚI THỨ HAI (1945 – 1949) |Bài 1 : SỰ HÌNH THÀNH TRẬT TỰ THẾ GIỚI MỚI SAU CHIẾN TRANH THẾ GIỚI THỨ HAI (1945 – 1949) 
sgk 12|0006|"Hội nghị đã đưa ra những quyết định quan trọng: - Thống nhất mục tiêu chung là tiêu diệt tận gốc chủ nghĩa phát xít Đức và chủ nghĩa quân phiệt Nhật Bản. nhanh chóng kết thúc chiến tranh, trong thời gian từ 2 đến 3 tháng sau khi đánh bại phát xít Đức, Liên Xô sẽ tham chiến chống Nhật châu Á. - Thành lập tổ chức Liên hợp quốc nhằm duy trì hoà bình, an ninh thế giới. - Thoả thuận về việc đóng quân tại các nước nhằm giải giáp quân đội phát xít, phân chia phạm vi ảnh hưởng ở châu Âu và châu Á.
Ở châu Âu, quân đội Liên Xô chiếm đóng miền Đông nước Đức, Đông Béclin và các nước Đông Âu • quân đội Mĩ, Anh và Pháp chiếm đóng miền Tây nước Đức, Tây Béclin và các nước Tây Âu. Vùng Đông Âu thuộc phạm vi ảnh hưởng của Liên Xô, vùng Tây Âu thuộc phạm vi ảnh hưởng của Mĩ. Hai nước Áo và Phần Lan trở thành những nước trung lập.
Ở châu Á, Hội nghị chấp nhận những điều kiện để Liên Xô tham chiến chống Nhật : 1. Giữ nguyên trạng Mông Cổ ; 2. Khôi phục quyền lợi của nước Nga đã bị mất do cuộc chiến tranh Nga - Nhật năm 1904 : trả lại cho Liên Xô miền Nam đảo Zakhalin ; Liên Xô chiếm 4 đảo thuộc quần đảo Curin.
Quân đội Mĩ chiếm đóng Nhật Bản. Ở bán đảo Triều Tiên, Hồng quân Liên Xô chiếm đóng miền Bắc và quân Mĩ chiếm đóng miền Nam, lấy vĩ tuyến 38 làm ranh giới. Trung Quốc cần trở thành một quốc gia thống nhất và dân chủ ; Chính phủ Trung Hoa Dân quốc cần cải tổ với sự tham gia của Đảng Cộng sản và các đảng phái dân chủ ; trả lại cho Trung Quốc vùng Mãn Châu, đảo Đài Loan và quần đảo Bành Hồ. Các vùng còn lại của châu Á (Đông Nam Á,"|PHẦN MỘT : LỊCH SỬ THẾ GIỚI HIỆN ĐẠI TỪ NĂM 1945 ĐẾN NĂM 2000|Chương I SỰ HÌNH THÀNH TRẬT TỰ THẾ GIỚI MỚI : SAU CHIẾN TRANH THẾ GIỚI THỨ HAI (1945 – 1949) |Bài 1 : SỰ HÌNH THÀNH TRẬT TỰ THẾ GIỚI MỚI SAU CHIẾN TRANH THẾ GIỚI THỨ HAI (1945 – 1949) 
sgk 12|0007|"Nam Á, Tây Á) vẫn thuộc phạm vi ảnh hưởng của các nước phương Tây.
Theo thoả thuận của Hội nghị Pốtxđam (Đức, chức từ ngày 17-7 đến ngày 2 – 8 – 1945), việc giải giáp quân Nhật ở Đông Dương được giao cho quân đội
Anh vào phía Nam vĩ tuyến 16 và quân đội Trung Hoa Dân quốc vào phía Bắc.
Toàn bộ những quyết định của Hội nghị Ianta cùng những thoả thuận sau đó của ba cường quốc đã trở thành khuôn khổ của trật tự thế giới mới, thường được gọi là trật tự hai cực Ianta.
II – SỰ THÀNH LẬP LIÊN HỢP QUỐC Sau Hội nghị Ianta không lâu, từ ngày 25 – 4 đến ngày 26 – 6 – 1945, một hội nghị quốc tế họp tại Xan Phranxixcô (Mĩ) với sự tham gia của đại biểu 50 nước, để thông qua bản Hiến chương và tuyên bố thành lập tổ chức Liên hợp quốc.
Ngày 24 – 10 – 1945, sau khi được Quốc hội các nước thành viên phê chuẩn, bản Hiến chương chính thức có hiệu lực."|PHẦN MỘT : LỊCH SỬ THẾ GIỚI HIỆN ĐẠI TỪ NĂM 1945 ĐẾN NĂM 2000|Chương I SỰ HÌNH THÀNH TRẬT TỰ THẾ GIỚI MỚI : SAU CHIẾN TRANH THẾ GIỚI THỨ HAI (1945 – 1949) |Bài 1 : SỰ HÌNH THÀNH TRẬT TỰ THẾ GIỚI MỚI SAU CHIẾN TRANH THẾ GIỚI THỨ HAI (1945 – 1949) 
sgk 12|0008|"Là văn kiện quan trọng nhất của Liên hợp quốc, Hiến chương nêu rõ mục đích của tổ chức này là duy trì hoà bình và an ninh thế giới, phát triển các mối quan hệ hữu nghị giữa các dân tộc và tiến hành hợp tác quốc tế giữa các nước trên cơ sở tôn trọng nguyên tắc bình đẳng và quyền tự quyết của các dân tộc.
Để thực hiện các mục đích đó, Liên hợp quốc hoạt động theo những nguyên tắc sau: - Bình đẳng chủ quyền giữa các quốc gia và quyền tự quyết của các dân tộc. - Tôn trọng toàn vẹn lãnh thổ và độc lập chính trị của tất cả các nước. - Không can thiệp vào công việc nội bộ của bất kì nước nào. - Giải quyết các tranh chấp quốc tế bằng biện pháp hoà bình. - Chung sống hoà bình và sự nhất trí giữa năm nước lớn (Liên Xô, Mĩ, Anh, Pháp và Trung Quốc).
Hiến chương quy định bộ máy tổ chức của Liên hợp quốc gồm sáu cơ quan chính là Đại hội đồng, Hội đồng Bảo an, Hội đồng Kinh tế và Xã hội, Hội đồng Quản thác, Toà án Quốc tế và Ban Thư kí.
Đại hội đồng : gồm đại diện các nước thành viên, có quyền bình đẳng. Mỗi năm, Đại hội đồng hợp một kì để thảo luận các vấn đề hoặc công việc thuộc phạm vi Hiến chương quy định.
Hội đồng Bảo an : Cơ quan giữ vai trò trọng yếu trong việc duy trì hoà bình và an ninh thế giới. Mọi quyết định của Hội đồng Bảo an phải được sự nhất trí của năm nước Uỷ viên thường trực là Liên Xô (nay là Liên bang Nga), Mĩ, Anh, Pháp và Trung Quốc(1) mới được thông qua và có giá trị.
Ban Thư kí : Cơ quan hành chính – tổ chức của Liên hợp quốc, đứng đầu là Tổng thư kí với nhiệm kì 5 năm.
Ngoài ra, Liên hợp quốc còn có nhiều tổ chức chuyên môn khác giúp việc.
Trụ sở của Liên hợp quốc đặt tại Niu Oóc (Mĩ).
Trong hơn nửa thế kỉ qua, Liên hợp quốc đã trở thành một diễn đàn quốc tế vừa hợp tác, vừa đấu tranh nhằm duy trì hoà bình và an ninh thế giới. Liên hợp quốc đã có nhiều cố gắng trong việc giải quyết các vụ tranh chấp và xung đột ở nhiều khu vực, thúc đẩy mối quan hệ hữu nghị và hợp tác quốc tế, giúp đỡ các dân tộc về kinh tế, văn hoá, giáo dục, y tế, nhân đạo v.v...
Đến năm 2006, Liên hợp quốc có 192 quốc gia thành viên.
Từ tháng 9 – 1977, Việt Nam là thành viên thứ 149 của Liên hợp quốc."|PHẦN MỘT : LỊCH SỬ THẾ GIỚI HIỆN ĐẠI TỪ NĂM 1945 ĐẾN NĂM 2000|Chương I SỰ HÌNH THÀNH TRẬT TỰ THẾ GIỚI MỚI : SAU CHIẾN TRANH THẾ GIỚI THỨ HAI (1945 – 1949) |Bài 1 : SỰ HÌNH THÀNH TRẬT TỰ THẾ GIỚI MỚI SAU CHIẾN TRANH THẾ GIỚI THỨ HAI (1945 – 1949) 
sgk 12|0009|"Ngày 16 – 10 – 2007, Đại hội đồng Liên hợp quốc đã bầu Việt Nam làm Uỷ viên không thường trực Hội đồng Bảo an, nhiệm kì 2008 – 2009.
III – SỰ HÌNH THÀNH HAI HỆ THỐNG XÃ HỘI ĐỐI LẬP Ngay sau Chiến tranh thế giới thứ hai, trên thế giới đã diễn ra nhiều sự kiện quan trọng với xu hướng hình thành hai phe - tư bản chủ nghĩa và xã hội chủ nghĩa - đối lập nhau gay gắt.
Tương lai của nước Đức trở thành vấn đề trung tâm trong nhiều cuộc gặp giữa nguyên thủ ba cường quốc Liên Xô, Mĩ và Anh với những bất động sâu sắc. Tại Hội nghị Pốtxđam, ba cường quốc đã khẳng định nước Đức phải trở thành một quốc gia thống nhất, hoà bình, dân chủ ; tiêu diệt tận gốc chủ nghĩa phát xít ; thoả thuận việc phân chia các khu vực chiếm đóng và kiểm soát nước Đức sau chiến tranh : quân đội Liên Xô chiếm đóng vùng lãnh thổ phía Đông nước Đức, quân đội Anh chiếm vùng Tây Bắc, quân đội Mĩ chiếm vùng phía Nam, quân đội Pháp được chiếm một phần lãnh thổ phía Tây nước Đức. Nhưng Mĩ, Anh và sau đó là Pháp đã tiến hành riêng rẽ việc hợp nhất các khu vực chiếm đóng của mình, tháng 9 – 1949 lập ra Nhà nước Cộng hoà Liên bang Đức. Tháng 10 – 1949, được sự giúp đỡ của Liên Xô, các lực lượng dân chủ ở Đông Đức đã thành lập Nhà nước Cộng hoà Dân chủ Đức.
Như thế, trên lãnh thổ nước Đức đã xuất hiện hai nhà nước với hai chế độ chính trị khác nhau.
Trong những năm 1945 – 1947, các nước Đông Âu đã tiến hành nhiều cải cách quan trọng như : xây dựng bộ máy nhà nước dân chủ nhân dân, cải cách ruộng đất, ban hành các quyền tự do dân chủ v... Đồng thời, Liên Xô cùng các nước Đông Âu kí kết nhiều hiệp ước tay đội về kinh tế như : trao đổi buôn bán, viện trợ lương thực, thực phẩm v... Năm 1949, Hội đồng tương trợ kinh tế được thành lập. Nhờ đó, sự hợp tác về chính trị, kinh tế, mối quan hệ giữa Liên Xô và các nước Đông Âu ngày càng được củng cố, từng bước hình thành hệ thống xã hội chủ nghĩa. Chủ nghĩa xã hội đã vượt ra khỏi phạm vi một nước và trở thành hệ thống thế giới.
Sau chiến tranh, Mã đề ra “Kế hoạch phục hưng châu Âu” (còn gọi là “Kế hoạch Mácsan”), nhằm viện trợ các nước Tây Âu khôi phục kinh tế, đồng thời tăng cường ảnh hưởng và sự khống chế của Mĩ đối với các nước này. Nhờ đó, nền kinh tế các nước Tây Âu được phục hồi nhanh chóng."|PHẦN MỘT : LỊCH SỬ THẾ GIỚI HIỆN ĐẠI TỪ NĂM 1945 ĐẾN NĂM 2000|Chương I SỰ HÌNH THÀNH TRẬT TỰ THẾ GIỚI MỚI : SAU CHIẾN TRANH THẾ GIỚI THỨ HAI (1945 – 1949) |Bài 1 : SỰ HÌNH THÀNH TRẬT TỰ THẾ GIỚI MỚI SAU CHIẾN TRANH THẾ GIỚI THỨ HAI (1945 – 1949) 
sgk 12|0010|Như vậy, ở châu Âu đã xuất hiện sự đối lập về chính trị và kinh tế giữa hai khối nước : Tây Âu tư bản chủ nghĩa và Đông Âu xã hội chủ nghĩa.|PHẦN MỘT : LỊCH SỬ THẾ GIỚI HIỆN ĐẠI TỪ NĂM 1945 ĐẾN NĂM 2000|Chương I SỰ HÌNH THÀNH TRẬT TỰ THẾ GIỚI MỚI : SAU CHIẾN TRANH THẾ GIỚI THỨ HAI (1945 – 1949) |Bài 1 : SỰ HÌNH THÀNH TRẬT TỰ THẾ GIỚI MỚI SAU CHIẾN TRANH THẾ GIỚI THỨ HAI (1945 – 1949) 
sgk 12|0011|"Sau khi Chiến tranh thế giới thứ hai kết thúc, Liên Xô đã nhanh chóng khôi phục đất nước, thực hiện nhiều kế hoạch 5 năm xây dựng chủ nghĩa xã hội. Các nước Đông Âu được giải phóng đã tiến hành cách mạng dân chủ nhân dân, tiến lên chủ nghĩa xã hội.
Từ cuối những năm 80 của thế kỉ XX, cuộc khủng hoảng chính trị và kinh tế – xã hội ở Liên Xô và các nước Đông Âu đã dẫn đến sự tan rã của chế độ xã hội chủ nghĩa ở các nước này. Nhà nước Liên bang Nga kế thừa địa vị và quyền lợi hợp pháp của Liên Xô. - LIÊN XÔ VÀ CÁC NƯỚC ĐÔNG ÂU TỪ NĂM 1945 ĐẾN GIỮA NHỮNG NĂM 70 1. Liên Xô a) Công cuộc khôi phục kinh tế (1945 – 1950) Liên Xô là nước chịu tổn thất nặng nề nhất trong Chiến tranh thế giới thứ hai : khoảng 27 triệu người chết, 1710 thành phố, hơn 7 vạn làng mạc, gần 32 000 xí nghiệp bị tàn phá nặng nề.
Với tinh thần tự lực tự cường, nhân dân Liên Xô đã hoàn thành thắng lợi kế hoạch 5 năm khôi phục kinh tế (1946 – 1950) trong vòng 4 năm 3 tháng.
Công nghiệp được phục hồi vào năm 1947. Đến năm 1950, tổng sản lượng công nghiệp tăng 73% so với mức trước chiến tranh (kế hoạch dự kiến là 48%), hơn 6 200 xí nghiệp được phục hồi hoặc xây dựng mới đi vào hoạt động.
Sản xuất nông nghiệp năm 1950 đã đạt mức trước chiến tranh."|PHẦN MỘT : LỊCH SỬ THẾ GIỚI HIỆN ĐẠI TỪ NĂM 1945 ĐẾN NĂM 2000|Chương II : LIÊN XÔ VÀ CÁC NƯỚC ĐÔNG ÂU (1945 – 1991), LIÊN BANG NGA (1991 – 2000) |Bài 2 : LIÊN XÔ VÀ CÁC NƯỚC ĐÔNG ÂU (1945 – 1991) LIÊN BANG NGA (1991 – 2000) 
sgk 12|0012|"Khoa học – kĩ thuật phát triển nhanh chóng. Năm 1949, Liên Xô đã chế tạo thành công bom nguyên tử, phá thế độc quyền vũ khí nguyên tử của Mĩ. b) Liên Xô tiếp tục xây dựng chủ nghĩa xã hội (từ năm 1950 đến nửa đầu những năm 70) Trong thời gian này, Liên Xô đã thực hiện nhiều kế hoạch dài hạn nhằm tiếp tục xây dựng cơ sở vật chất – kĩ thuật của chủ nghĩa xã hội. Các kế hoạch này về cơ bản đều hoàn thành với nhiều thành tựu to lớn.
Liên Xô trở thành cường quốc công nghiệp đứng thứ hai trên thế giới (sau Mĩ), một số ngành công nghiệp có sản lượng cao vào loại nhất thế giới như dầu mỏ, than, thép v... Liên Xô đi đầu trong công nghiệp vũ trụ, công nghiệp điện hạt nhân.
Tuy gặp nhiều khó khăn, sản xuất nông nghiệp vẫn đạt được nhiều thành tựu. Sản lượng nông phẩm trong những năm 60 tăng trung bình hằng năm là 16%.
Về khoa học - kĩ thuật, năm 1957 Liên Xô là nước đầu tiên phóng thành công vệ tinh nhân tạo. Năm 1961, Liên Xô đã phóng con tàu vũ trụ đưa nhà du hành vũ trụ I. Gagarin bay vòng quanh Trái Đất, mở đầu nguyên chinh phục vũ trụ của loài người.
Về xã hội, đất nước Liên Xô cũng có nhiều biến đổi. Tỉ lệ công nhân chiếm hơn 55% số người lao động trong cả nước.
Trình độ học vấn của người dân không ngừng được nâng cao.
Về đối ngoại, Liên Xô thực hiện chính sách bảo vệ hoà bình thế giới, ủng hộ phong trào giải phóng dân tộc và giúp đỡ các nước xã hội chủ nghĩa.
2. Các nước Đông Âu a) Sự ra đời các nhà nước dân chủ nhân dân Đông Âu Trong những năm 1944 – 1945, cùng với cuộc tiến công truy kích quân đội phát xít của Hồng quân Liên Xô, nhân dân các nước Đông Âu đã nổi dậy giành chính quyền, thành lập nhà nước dân chủ nhân dân."|PHẦN MỘT : LỊCH SỬ THẾ GIỚI HIỆN ĐẠI TỪ NĂM 1945 ĐẾN NĂM 2000|Chương II : LIÊN XÔ VÀ CÁC NƯỚC ĐÔNG ÂU (1945 – 1991), LIÊN BANG NGA (1991 – 2000) |Bài 2 : LIÊN XÔ VÀ CÁC NƯỚC ĐÔNG ÂU (1945 – 1991) LIÊN BANG NGA (1991 – 2000) 
sgk 12|0013|"Cộng hoà Nhân dân Ba Lan (1944), Cộng hoà Nhân dân Rumani (1944), Cộng hoà Nhân dân Hunggari (1945), Cộng hoà Tiệp Khắc (1945), Liên bang Cộng hoà Dân chủ Nhân dân Nam Tư (1945), Cộng hoà Nhân dân Anbani (1945), Cộng hoà Nhân dân Bungari (1946).
Riêng ở Đông Đức, với sự giúp đỡ của Liên Xô, tháng 10 – 1949 nước Cộng hoà Dân chủ Đức được thành lập.
Nhà nước dân chủ nhân dân ở các nước Đông Âu là chính quyền liên hiệp gồm đại biểu các giai cấp, các đảng phái chính trị đã từng tham gia Mặt trận dân tộc thống nhất chống phát xít. Trong những năm 1945 – 1949, các nhà nước dân chủ nhân dân tiến hành cải cách ruộng đất, xoá bỏ chế độ chiếm hữu ruộng đất của địa chủ, quốc hữu hoá các xí nghiệp lớn của tư bản trong và ngoài nước, ban hành các quyền tự do dân chủ, cải thiện và nâng cao đời sống nhân dân. Chính quyền"|PHẦN MỘT : LỊCH SỬ THẾ GIỚI HIỆN ĐẠI TỪ NĂM 1945 ĐẾN NĂM 2000|Chương II : LIÊN XÔ VÀ CÁC NƯỚC ĐÔNG ÂU (1945 – 1991), LIÊN BANG NGA (1991 – 2000) |Bài 2 : LIÊN XÔ VÀ CÁC NƯỚC ĐÔNG ÂU (1945 – 1991) LIÊN BANG NGA (1991 – 2000) 
sgk 12|0014|"nhân dân được củng cố, vai trò lãnh đạo của các đảng cộng sản ngày càng được khẳng định. b) Công cuộc xây dựng chủ nghĩa xã hội ở các nước Đông Âu Trong những năm 1950 – 1975, các nước Đông Âu đã thực hiện nhiều kế hoạch 5 năm nhằm xây dựng cơ sở vật chất – kĩ thuật của chủ nghĩa xã hội trong tình hình khó khăn phức tạp. Các nước này đều xuất phát từ trình độ phát triển thấp (trừ Tiệp Khắc, Cộng hoà Dân chủ Đức), lại bị các nước đế quốc bao vây về kinh tế và các thế lực phản động trong nước ra sức chống phá. Với sự giúp đỡ có hiệu quả của Liên Xô và sự nỗ lực vươn lên của nhân dân, các nước Đông Âu đã giành được nhiều thành tựu to lớn.
Các nước Đông Âu đã tiến hành xây dựng nền công nghiệp, điện khí hoá toàn quốc, nâng sản lượng công nghiệp lên gấp hàng chục lần. Nông nghiệp phát triển nhanh chóng, đáp ứng nhu cầu lương thực và thực phẩm của nhân dân. Trình độ khoa học - kĩ thuật được nâng lên rõ rệt. Từ những nước nghèo, các nước xã hội chủ nghĩa Đông Âu đã trở thành các quốc gia công - nông nghiệp.
3. Quan hệ hợp tác giữa các nước xã hội chủ nghĩa ở châu Âu a) Quan hệ kinh tế, khoa học - kĩ thuật Ngày 8 – 1 – 1949, Hội đồng tương trợ kinh tế (thường gọi tắt là SEV) được thành lập với sự tham gia của các nước xã hội chủ nghĩa ở châu Âu là : Liên Xô, Anbani, Ba Lan, Bungari, Hunggari, Tiệp Khắc, Rumani ; năm 1950, kết nạp thêm Cộng hoà Dân chủ Đức(1). Mục tiêu của SEV là tăng cường sự hợp tác giữa các nước xã hội chủ nghĩa, thúc đẩy sự tiến bộ về kinh tế và kĩ thuật, thu hẹp dần sự chênh lệch về trình độ phát triển kinh tế giữa các nước thành viên. Sau hơn 20 năm hoạt động, Hội đồng tương trợ kinh tế đã đạt được một số thành tựu trong việc giúp đỡ các nước thành viên, thúc đẩy sự tiến bộ về kinh tế và kĩ thuật, không ngừng nâng cao mức sống của nhân dân.
Từ năm 1951 đến năm 1973, tốc độ tăng trưởng sản xuất công nghiệp bình quân hằng năm của các nước trong khối SEV là khoảng 10%, tổng sản phẩm trong nước (GDP) của các nước thành viên năm 1973 tăng 5,7 lần so với năm 1950. Liên Xô giữ vai trò quyết định trong khối SEV. Từ năm 1949 đến năm 1970, Liên Xô đã viện trợ không hoàn lại cho các nước thành viên tới 20 tỉ rúp."|PHẦN MỘT : LỊCH SỬ THẾ GIỚI HIỆN ĐẠI TỪ NĂM 1945 ĐẾN NĂM 2000|Chương II : LIÊN XÔ VÀ CÁC NƯỚC ĐÔNG ÂU (1945 – 1991), LIÊN BANG NGA (1991 – 2000) |Bài 2 : LIÊN XÔ VÀ CÁC NƯỚC ĐÔNG ÂU (1945 – 1991) LIÊN BANG NGA (1991 – 2000) 
